Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Swap,Profit,Balance,Comment
2024.01.01 00:00:00,1,,balance,,,,,0.00,0.00,3 000.00,3 000.00,
2024.01.03 16:17:18,2,XAUUSD,sell,in,0.02,2035.38,2,-0.07,0.00,0.00,2 999.93,
2024.01.03 16:21:25,3,XAUUSD,buy,out,0.02,2035.35,3,-0.07,0.00,0.06,2 999.92,sl 2035.28
2024.01.03 16:41:26,4,XAUUSD,sell,in,0.02,2034.74,4,-0.07,0.00,0.00,2 999.85,
2024.01.03 17:38:29,5,XAUUSD,buy,out,0.02,2034.28,5,-0.07,0.00,0.92,3 000.70,sl 2034.23
2024.01.03 17:38:37,6,XAUUSD,sell,in,0.02,2033.56,6,-0.07,0.00,0.00,3 000.63,
2024.01.03 17:39:03,7,XAUUSD,buy,out,0.02,2033.49,7,-0.07,0.00,0.14,3 000.70,sl 2033.45
2024.01.03 18:02:47,8,XAUUSD,sell,in,0.02,2034.25,8,-0.07,0.00,0.00,3 000.63,
2024.01.03 18:13:23,9,XAUUSD,buy,out,0.02,2034.20,9,-0.07,0.00,0.10,3 000.66,sl 2034.16
2024.01.03 18:26:47,10,XAUUSD,sell,in,0.02,2034.04,10,-0.07,0.00,0.00,3 000.59,
2024.01.03 18:33:46,11,XAUUSD,buy,out,0.02,2033.64,11,-0.07,0.00,0.80,3 001.32,sl 2033.62
2024.01.03 18:50:50,12,XAUUSD,sell,in,0.02,2031.78,12,-0.07,0.00,0.00,3 001.25,
2024.01.03 19:01:55,13,XAUUSD,buy,out,0.02,2031.65,13,-0.07,0.00,0.26,3 001.44,sl 2031.65
2024.01.03 19:14:55,14,XAUUSD,sell,in,0.02,2033.31,14,-0.07,0.00,0.00,3 001.37,
2024.01.03 19:22:08,15,XAUUSD,buy,out,0.02,2033.21,15,-0.07,0.00,0.20,3 001.50,sl 2033.18
2024.01.03 19:39:03,16,XAUUSD,sell,in,0.02,2032.21,16,-0.07,0.00,0.00,3 001.43,
2024.01.03 19:42:51,17,XAUUSD,buy,out,0.02,2031.43,17,-0.07,0.00,1.56,3 002.92,sl 2031.43
2024.01.03 21:06:07,18,XAUUSD,sell,in,0.02,2031.75,18,-0.07,0.00,0.00,3 002.85,
