Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Swap,Profit,Balance,Comment
2025.01.01 00:00:00,1,,balance,,,,,0.00,0.00,3 000.00,3 000.00,
2025.01.02 17:34:25,2,XAUUSD,buy,in,0.02,2652.92,2,-0.07,0.00,0.00,2 999.93,
2025.01.02 17:38:27,3,XAUUSD,sell,out,0.02,2653.09,3,-0.07,0.00,0.34,3 000.20,sl 2653.11
2025.01.02 17:58:30,4,XAUUSD,buy,in,0.02,2654.84,4,-0.07,0.00,0.00,3 000.13,
2025.01.02 18:20:36,5,XAUUSD,sell,out,0.02,2656.51,5,-0.07,0.00,3.34,3 003.40,sl 2656.51
2025.01.02 18:22:30,6,XAUUSD,buy,in,0.02,2656.77,6,-0.07,0.00,0.00,3 003.33,
2025.01.02 18:23:36,7,XAUUSD,sell,out,0.02,2656.86,7,-0.07,0.00,0.18,3 003.44,sl 2656.87
2025.01.02 18:46:38,8,XAUUSD,buy,in,0.02,2658.05,8,-0.07,0.00,0.00,3 003.37,
2025.01.02 18:51:07,9,XAUUSD,sell,out,0.02,2659.16,9,-0.07,0.00,2.22,3 005.52,sl 2659.17
2025.01.02 19:10:44,10,XAUUSD,buy,in,0.02,2658.37,10,-0.07,0.00,0.00,3 005.45,
2025.01.02 19:12:45,11,XAUUSD,sell,out,0.02,2658.94,11,-0.07,0.00,1.14,3 006.52,sl 2658.94
2025.01.02 19:52:29,12,XAUUSD,buy,in,0.02,2654.98,12,-0.07,0.00,0.00,3 006.45,
2025.01.02 20:00:52,13,XAUUSD,sell,out,0.02,2656.67,13,-0.07,0.00,3.38,3 009.76,sl 2656.68
2025.01.02 20:16:36,14,XAUUSD,buy,in,0.02,2657.64,14,-0.07,0.00,0.00,3 009.69,
2025.01.02 20:18:37,15,XAUUSD,sell,out,0.02,2657.68,15,-0.07,0.00,0.08,3 009.70,sl 2657.69
2025.01.02 20:42:16,16,XAUUSD,buy,in,0.02,2655.50,16,-0.07,0.00,0.00,3 009.63,
2025.01.02 20:46:05,17,XAUUSD,sell,out,0.02,2655.57,17,-0.07,0.00,0.14,3 009.70,sl 2655.57
2025.01.02 21:36:02,18,XAUUSD,buy,in,0.02,2656.40,18,-0.07,0.00,0.00,3 009.63,
2025.01.02 21:39:07,19,XAUUSD,sell,out,0.02,2656.62,19,-0.07,0.00,0.44,3 010.00,sl 2656.62
2025.01.02 22:13:14,20,XAUUSD,buy,in,0.02,2657.22,20,-0.07,0.00,0.00,3 009.93,
2025.01.02 22:25:30,21,XAUUSD,sell,out,0.02,2659.02,21,-0.07,0.00,3.60,3 013.46,sl 2659.04
2025.01.02 22:37:16,22,XAUUSD,buy,in,0.02,2659.22,22,-0.07,0.00,0.00,3 013.39,
2025.01.02 22:44:35,23,XAUUSD,sell,out,0.02,2659.40,23,-0.07,0.00,0.36,3 013.68,sl 2659.47
2025.01.02 23:01:22,24,XAUUSD,buy,in,0.02,2660.00,24,-0.07,0.00,0.00,3 013.61,
2025.01.03 02:09:19,25,XAUUSD,sell,out,0.02,2660.60,25,-0.07,-1.14,1.20,3 013.60,sl 2660.61
2025.01.10 16:34:01,26,XAUUSD,buy,in,0.02,2692.41,26,-0.07,0.00,0.00,3 013.53,
2025.01.10 16:34:53,27,XAUUSD,sell,out,0.02,2692.60,27,-0.07,0.00,0.38,3 013.84,sl 2692.66
2025.01.10 17:23:30,28,XAUUSD,buy,in,0.02,2693.50,28,-0.07,0.00,0.00,3 013.77,
2025.01.10 17:26:13,29,XAUUSD,sell,out,0.02,2694.09,29,-0.07,0.00,1.18,3 014.88,sl 2694.09
2025.01.10 17:47:38,30,XAUUSD,buy,in,0.02,2693.67,30,-0.07,0.00,0.00,3 014.81,
2025.01.10 17:49:36,31,XAUUSD,sell,out,0.02,2693.54,31,-0.07,0.00,-0.26,3 014.48,sl 2693.69
2025.01.10 18:46:16,32,XAUUSD,buy,in,0.02,2694.37,32,-0.07,0.00,0.00,3 014.41,
2025.01.10 18:51:14,33,XAUUSD,sell,out,0.02,2694.49,33,-0.07,0.00,0.24,3 014.58,sl 2694.51
2025.01.10 19:14:46,34,XAUUSD,buy,in,0.02,2695.63,34,-0.07,0.00,0.00,3 014.51,
2025.01.10 19:15:44,35,XAUUSD,sell,out,0.02,2696.34,35,-0.07,0.00,1.42,3 015.86,sl 2696.36
2025.01.10 19:38:51,36,XAUUSD,buy,in,0.02,2697.46,36,-0.07,0.00,0.00,3 015.79,
2025.01.10 21:16:58,37,XAUUSD,sell,in,0.18,2686.30,37,-0.63,0.00,0.00,3 015.16,
2025.01.10 21:47:38,38,XAUUSD,buy,out,0.18,2685.64,38,-0.63,0.00,11.88,3 026.41,sl 2685.62
2025.01.13 13:59:18,39,XAUUSD,sell,out,0.02,2675.91,39,-0.07,-1.14,-43.10,2 982.10,
2025.01.16 15:30:22,40,XAUUSD,buy,in,0.02,2713.49,40,-0.07,0.00,0.00,2 982.03,
2025.01.16 15:43:04,41,XAUUSD,sell,out,0.02,2713.49,41,-0.07,0.00,0.00,2 981.96,sl 2713.51
2025.01.16 15:54:27,42,XAUUSD,buy,in,0.02,2718.14,42,-0.07,0.00,0.00,2 981.89,
2025.01.16 16:56:08,43,XAUUSD,sell,out,0.02,2718.57,43,-0.07,0.00,0.86,2 982.68,sl 2718.57
2025.01.16 16:56:13,44,XAUUSD,buy,in,0.02,2718.71,44,-0.07,0.00,0.00,2 982.61,
2025.01.16 16:57:15,45,XAUUSD,sell,out,0.02,2718.74,45,-0.07,0.00,0.06,2 982.60,sl 2718.76
2025.01.16 17:20:16,46,XAUUSD,buy,in,0.02,2716.58,46,-0.07,0.00,0.00,2 982.53,
2025.01.16 17:24:44,47,XAUUSD,sell,out,0.02,2716.91,47,-0.07,0.00,0.66,2 983.12,sl 2716.91
2025.01.16 17:44:24,48,XAUUSD,buy,in,0.02,2715.66,48,-0.07,0.00,0.00,2 983.05,
2025.01.16 18:00:15,49,XAUUSD,sell,out,0.02,2716.56,49,-0.07,0.00,1.80,2 984.78,sl 2716.61
2025.01.16 18:08:27,50,XAUUSD,buy,in,0.02,2718.36,50,-0.07,0.00,0.00,2 984.71,
2025.01.16 18:13:58,51,XAUUSD,sell,out,0.02,2719.54,51,-0.07,0.00,2.36,2 987.00,sl 2719.57
2025.01.16 18:32:27,52,XAUUSD,buy,in,0.02,2719.40,52,-0.07,0.00,0.00,2 986.93,
