Section,Key,Value
Setup,Expert,ea
Setup,Symbol,XAUUSD
Setup,Period,H1 (2026.01.01 - 2026.06.17)
Setup,Company,Raw Trading Ltd
Setup,Currency,USD
Setup,Initial Deposit,3 000.00
Setup,Leverage,1:1000
Setup,_title,Strategy Tester Report
Statistics,Initial Deposit,3 000.00
Statistics,Leverage,1:1000
Statistics,History Quality,100% real ticks
Statistics,Bars,2685
Statistics,Ticks,90734975
Statistics,Symbols,1
Statistics,Total Net Profit,579.29
Statistics,Balance Drawdown Absolute,0.15
Statistics,Equity Drawdown Absolute,12.28
Statistics,Gross Profit,4 097.83
Statistics,Balance Drawdown Maximal,735.17 (18.60%)
Statistics,Equity Drawdown Maximal,764.01 (19.30%)
Statistics,Gross Loss,-3 518.54
Statistics,Balance Drawdown Relative,18.60% (735.17)
Statistics,Equity Drawdown Relative,19.30% (764.01)
Statistics,Profit Factor,1.16
Statistics,Expected Payoff,0.43
Statistics,Margin Level,2572.73%
Statistics,Recovery Factor,0.76
Statistics,Sharpe Ratio,2.36
Statistics,Z-Score,0.50 (38.29%)
Statistics,AHPR,1.0002 (0.02%)
Statistics,LR Correlation,-0.11
Statistics,OnTester result,0
Statistics,GHPR,1.0001 (0.01%)
Statistics,LR Standard Error,197.80
Statistics,Total Trades,1336
Statistics,Short Trades (won %),717 (74.06%)
Statistics,Long Trades (won %),619 (78.03%)
Statistics,Total Deals,2672
Statistics,Profit Trades (% of total),1014 (75.90%)
Statistics,Loss Trades (% of total),322 (24.10%)
Statistics,Largest profit trade,349.10
Statistics,Largest loss trade,-330.16
Statistics,Average profit trade,4.04
Statistics,Average loss trade,-10.52
Statistics,Maximum consecutive wins ($),19 (98.99)
Statistics,Maximum consecutive losses ($),4 (-2.68)
Statistics,Maximal consecutive profit (count),350.00 (3)
Statistics,Maximal consecutive loss (count),-330.16 (1)
Statistics,Average consecutive wins,4
Statistics,Average consecutive losses,1
Statistics,"Correlation (Profits,MFE)",0.54
Statistics,"Correlation (Profits,MAE)",0.53
Statistics,"Correlation (MFE,MAE)",-0.1084
Statistics,Minimal position holding time,0:00:06
Statistics,Maximal position holding time,25:19:33
Statistics,Average position holding time,0:17:35
