Section,Key,Value
Setup,Expert,ea
Setup,Symbol,XAUUSD
Setup,Period,H1 (2023.01.01 - 2026.06.17)
Setup,Company,Raw Trading Ltd
Setup,Currency,USD
Setup,Initial Deposit,3 000.00
Setup,Leverage,1:1000
Setup,_title,Strategy Tester Report
Statistics,Initial Deposit,3 000.00
Statistics,Leverage,1:1000
Statistics,History Quality,99% real ticks
Statistics,Bars,20430
Statistics,Ticks,351609820
Statistics,Symbols,1
Statistics,Total Net Profit,-403.37
Statistics,Balance Drawdown Absolute,1 007.74
Statistics,Equity Drawdown Absolute,1 158.06
Statistics,Gross Profit,7 499.83
Statistics,Balance Drawdown Maximal,1 801.19 (47.48%)
Statistics,Equity Drawdown Maximal,1 948.55 (51.41%)
Statistics,Gross Loss,-7 903.20
Statistics,Balance Drawdown Relative,47.48% (1 801.19)
Statistics,Equity Drawdown Relative,51.41% (1 948.55)
Statistics,Profit Factor,0.95
Statistics,Expected Payoff,-0.12
Statistics,Margin Level,866.62%
Statistics,Recovery Factor,-0.21
Statistics,Sharpe Ratio,-0.45
Statistics,Z-Score,-0.52 (39.69%)
Statistics,AHPR,1.0000 (-0.00%)
Statistics,LR Correlation,-0.77
Statistics,OnTester result,0
Statistics,GHPR,1.0000 (-0.00%)
Statistics,LR Standard Error,320.47
Statistics,Total Trades,3464
Statistics,Short Trades (won %),1632 (76.72%)
Statistics,Long Trades (won %),1832 (79.04%)
Statistics,Total Deals,6928
Statistics,Profit Trades (% of total),2700 (77.94%)
Statistics,Loss Trades (% of total),764 (22.06%)
Statistics,Largest profit trade,232.82
Statistics,Largest loss trade,-517.35
Statistics,Average profit trade,2.78
Statistics,Average loss trade,-9.94
Statistics,Maximum consecutive wins ($),27 (45.64)
Statistics,Maximum consecutive losses ($),5 (-1.73)
Statistics,Maximal consecutive profit (count),323.51 (6)
Statistics,Maximal consecutive loss (count),-517.35 (1)
Statistics,Average consecutive wins,5
Statistics,Average consecutive losses,1
Statistics,"Correlation (Profits,MFE)",0.32
Statistics,"Correlation (Profits,MAE)",0.70
Statistics,"Correlation (MFE,MAE)",-0.1373
Statistics,Minimal position holding time,0:00:01
Statistics,Maximal position holding time,49:16:45
Statistics,Average position holding time,0:36:12
