Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Swap,Profit,Balance,Comment
2026.01.01 00:00:00,1,,balance,,,,,0.00,0.00,3 000.00,3 000.00,
2026.01.02 01:02:02,2,XAUUSD,sell,in,0.02,4330.19,2,-0.07,0.00,0.00,2 999.93,
2026.01.02 01:04:31,3,XAUUSD,buy,out,0.02,4325.47,3,-0.07,0.00,9.44,3 009.30,sl 4325.34
2026.01.02 10:46:42,4,XAUUSD,buy,in,0.02,4394.66,4,-0.07,0.00,0.00,3 009.23,
2026.01.02 10:47:28,5,XAUUSD,sell,out,0.02,4396.62,5,-0.07,0.00,3.92,3 013.08,sl 4396.63
2026.01.02 12:41:05,6,XAUUSD,buy,in,0.02,4395.53,6,-0.07,0.00,0.00,3 013.01,
2026.01.02 12:43:02,7,XAUUSD,sell,out,0.02,4395.98,7,-0.07,0.00,0.90,3 013.84,sl 4395.98
2026.01.02 13:05:09,8,XAUUSD,buy,in,0.02,4397.18,8,-0.07,0.00,0.00,3 013.77,
2026.01.02 13:20:33,9,XAUUSD,sell,out,0.02,4396.95,9,-0.07,0.00,-0.46,3 013.24,sl 4397.26
2026.01.02 14:10:26,10,XAUUSD,buy,in,0.02,4397.21,10,-0.07,0.00,0.00,3 013.17,
2026.01.02 14:18:53,11,XAUUSD,sell,out,0.02,4397.43,11,-0.07,0.00,0.44,3 013.54,sl 4397.45
2026.01.02 15:04:14,12,XAUUSD,buy,in,0.02,4397.72,12,-0.07,0.00,0.00,3 013.47,
2026.01.02 15:12:10,13,XAUUSD,sell,out,0.02,4397.75,13,-0.07,0.00,0.06,3 013.46,sl 4397.77
2026.01.02 17:05:11,14,XAUUSD,sell,in,0.02,4341.92,14,-0.07,0.00,0.00,3 013.39,
2026.01.02 17:06:28,15,XAUUSD,buy,out,0.02,4341.78,15,-0.07,0.00,0.28,3 013.60,sl 4341.77
2026.01.02 17:29:15,16,XAUUSD,sell,in,0.02,4337.42,16,-0.07,0.00,0.00,3 013.53,
2026.01.02 17:29:32,17,XAUUSD,buy,out,0.02,4336.77,17,-0.07,0.00,1.30,3 014.76,sl 4336.72
2026.01.02 17:53:18,18,XAUUSD,sell,in,0.02,4340.21,18,-0.07,0.00,0.00,3 014.69,
2026.01.02 17:53:42,19,XAUUSD,buy,out,0.02,4340.19,19,-0.07,0.00,0.04,3 014.66,sl 4340.17
2026.01.02 18:17:29,20,XAUUSD,sell,in,0.02,4318.37,20,-0.07,0.00,0.00,3 014.59,
2026.01.02 18:18:16,21,XAUUSD,buy,out,0.02,4318.36,21,-0.07,0.00,0.02,3 014.54,sl 4318.36
2026.01.02 18:41:37,22,XAUUSD,sell,in,0.02,4326.45,22,-0.07,0.00,0.00,3 014.47,
2026.01.02 18:42:26,23,XAUUSD,buy,out,0.02,4325.52,23,-0.07,0.00,1.86,3 016.26,sl 4325.51
2026.01.02 19:05:39,24,XAUUSD,sell,in,0.02,4332.59,24,-0.07,0.00,0.00,3 016.19,
2026.01.02 19:06:19,25,XAUUSD,buy,out,0.02,4331.49,25,-0.07,0.00,2.20,3 018.32,sl 4331.49
2026.01.02 19:29:41,26,XAUUSD,sell,in,0.02,4328.34,26,-0.07,0.00,0.00,3 018.25,
2026.01.02 19:31:50,27,XAUUSD,buy,out,0.02,4327.75,27,-0.07,0.00,1.18,3 019.36,sl 4327.74
2026.01.02 19:53:46,28,XAUUSD,sell,in,0.02,4324.40,28,-0.07,0.00,0.00,3 019.29,
2026.01.02 19:59:56,29,XAUUSD,buy,out,0.02,4323.51,29,-0.07,0.00,1.78,3 021.00,sl 4323.51
2026.01.02 20:17:50,30,XAUUSD,sell,in,0.02,4314.33,30,-0.07,0.00,0.00,3 020.93,
2026.01.02 20:37:27,31,XAUUSD,buy,out,0.02,4313.36,31,-0.07,0.00,1.94,3 022.80,sl 4313.36
2026.01.02 20:41:57,32,XAUUSD,sell,in,0.02,4313.70,32,-0.07,0.00,0.00,3 022.73,
2026.01.02 20:42:52,33,XAUUSD,buy,out,0.02,4312.05,33,-0.07,0.00,3.30,3 025.96,sl 4312.05
2026.01.02 21:06:12,34,XAUUSD,sell,in,0.02,4320.64,34,-0.07,0.00,0.00,3 025.89,
2026.01.02 21:06:59,35,XAUUSD,buy,out,0.02,4319.23,35,-0.07,0.00,2.82,3 028.64,sl 4319.22
2026.01.02 21:30:12,36,XAUUSD,sell,in,0.02,4319.07,36,-0.07,0.00,0.00,3 028.57,
2026.01.02 21:31:17,37,XAUUSD,buy,out,0.02,4319.00,37,-0.07,0.00,0.14,3 028.64,sl 4318.99
2026.01.02 21:54:18,38,XAUUSD,sell,in,0.02,4319.27,38,-0.07,0.00,0.00,3 028.57,
2026.01.02 21:58:49,39,XAUUSD,buy,out,0.02,4319.15,39,-0.07,0.00,0.24,3 028.74,sl 4319.11
2026.01.02 22:18:23,40,XAUUSD,sell,in,0.02,4320.94,40,-0.07,0.00,0.00,3 028.67,
2026.01.02 23:56:26,41,XAUUSD,buy,in,0.18,4333.12,41,-0.63,0.00,0.00,3 028.04,
2026.01.05 01:02:00,42,XAUUSD,buy,out,0.02,4354.44,42,-0.07,0.81,-67.00,2 961.78,
2026.01.05 01:02:02,43,XAUUSD,sell,out,0.18,4353.30,43,-0.63,-10.27,363.24,3 314.12,sl 4353.31
2026.01.05 01:02:08,44,XAUUSD,sell,in,1.61,4353.12,44,-5.64,0.00,0.00,3 308.48,
2026.01.05 01:02:08,45,XAUUSD,buy,out,1.61,4353.62,45,-5.64,0.00,-80.50,3 222.34,
2026.01.05 02:28:44,46,XAUUSD,buy,in,0.02,4389.08,46,-0.07,0.00,0.00,3 222.27,
2026.01.05 02:31:56,47,XAUUSD,sell,out,0.02,4389.72,47,-0.07,0.00,1.28,3 223.48,sl 4389.79
2026.01.05 02:52:51,48,XAUUSD,buy,in,0.02,4390.54,48,-0.07,0.00,0.00,3 223.41,
2026.01.05 02:54:45,49,XAUUSD,sell,out,0.02,4391.68,49,-0.07,0.00,2.28,3 225.62,sl 4391.77
2026.01.05 03:16:50,50,XAUUSD,buy,in,0.02,4404.22,50,-0.07,0.00,0.00,3 225.55,
2026.01.05 03:26:15,51,XAUUSD,sell,out,0.02,4404.16,51,-0.07,0.00,-0.12,3 225.36,sl 4404.25
