Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Swap,Profit,Balance,Comment
2023.01.01 00:00:00,1,,balance,,,,,0.00,0.00,3 000.00,3 000.00,
2023.01.03 09:26:12,2,XAUUSD,buy,in,0.02,1846.81,2,-0.07,0.00,0.00,2 999.93,
2023.01.03 09:29:40,3,XAUUSD,sell,out,0.02,1847.06,3,-0.07,0.00,0.50,3 000.36,sl 1847.09
2023.01.03 09:53:40,4,XAUUSD,buy,in,0.02,1846.97,4,-0.07,0.00,0.00,3 000.29,
2023.01.03 10:00:30,5,XAUUSD,sell,out,0.02,1847.43,5,-0.07,0.00,0.92,3 001.14,sl 1847.43
2023.01.04 09:38:42,6,XAUUSD,buy,in,0.02,1857.87,6,-0.07,0.00,0.00,3 001.07,
2023.01.04 09:45:18,7,XAUUSD,sell,out,0.02,1858.09,7,-0.07,0.00,0.44,3 001.44,sl 1858.14
2023.01.04 10:02:42,8,XAUUSD,buy,in,0.02,1859.98,8,-0.07,0.00,0.00,3 001.37,
2023.01.04 10:16:43,9,XAUUSD,sell,out,0.02,1862.43,9,-0.07,0.00,4.90,3 006.20,sl 1862.50
2023.01.04 10:26:59,10,XAUUSD,buy,in,0.02,1862.78,10,-0.07,0.00,0.00,3 006.13,
2023.01.04 10:31:33,11,XAUUSD,sell,out,0.02,1864.61,11,-0.07,0.00,3.66,3 009.72,sl 1864.61
2023.01.04 10:51:04,12,XAUUSD,buy,in,0.02,1859.79,12,-0.07,0.00,0.00,3 009.65,
2023.01.04 10:54:59,13,XAUUSD,sell,out,0.02,1860.52,13,-0.07,0.00,1.46,3 011.04,sl 1860.52
2023.01.04 11:15:03,14,XAUUSD,buy,in,0.02,1860.09,14,-0.07,0.00,0.00,3 010.97,
2023.01.04 11:17:05,15,XAUUSD,sell,out,0.02,1860.47,15,-0.07,0.00,0.76,3 011.66,sl 1860.49
2023.01.04 11:39:06,16,XAUUSD,buy,in,0.02,1860.93,16,-0.07,0.00,0.00,3 011.59,
2023.01.04 11:46:43,17,XAUUSD,sell,out,0.02,1860.98,17,-0.07,0.00,0.10,3 011.62,sl 1860.98
2023.01.04 12:03:08,18,XAUUSD,buy,in,0.02,1860.82,18,-0.07,0.00,0.00,3 011.55,
2023.01.04 12:12:35,19,XAUUSD,sell,out,0.02,1861.03,19,-0.07,0.00,0.42,3 011.90,sl 1861.04
2023.01.04 13:14:32,20,XAUUSD,buy,in,0.02,1861.57,20,-0.07,0.00,0.00,3 011.83,
2023.01.04 13:15:14,21,XAUUSD,sell,out,0.02,1861.59,21,-0.07,0.00,0.04,3 011.80,sl 1861.59
2023.01.09 03:45:51,22,XAUUSD,buy,in,0.02,1874.28,22,-0.07,0.00,0.00,3 011.73,
2023.01.09 03:53:28,23,XAUUSD,sell,out,0.02,1874.79,23,-0.07,0.00,1.02,3 012.68,sl 1874.80
2023.01.09 04:13:09,24,XAUUSD,buy,in,0.02,1875.26,24,-0.07,0.00,0.00,3 012.61,
2023.01.09 04:17:15,25,XAUUSD,sell,out,0.02,1876.28,25,-0.07,0.00,2.04,3 014.58,sl 1876.28
2023.01.09 04:37:09,26,XAUUSD,buy,in,0.02,1878.47,26,-0.07,0.00,0.00,3 014.51,
