Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Swap,Profit,Balance,Comment
2024.01.01 00:00:00,1,,balance,,,,,0.00,0.00,3 000.00,3 000.00,
2024.01.03 16:17:24,2,XAUUSD,sell,in,0.02,2035.36,2,-0.07,0.00,0.00,2 999.93,
2024.01.03 16:21:25,3,XAUUSD,buy,out,0.02,2035.35,3,-0.07,0.00,0.02,2 999.88,sl 2035.28
2024.01.03 16:41:28,4,XAUUSD,sell,in,0.02,2034.74,4,-0.07,0.00,0.00,2 999.81,
2024.01.03 17:38:29,5,XAUUSD,buy,out,0.02,2034.28,5,-0.07,0.00,0.92,3 000.66,sl 2034.24
2024.01.03 17:38:37,6,XAUUSD,sell,in,0.02,2033.56,6,-0.07,0.00,0.00,3 000.59,
2024.01.03 17:39:03,7,XAUUSD,buy,out,0.02,2033.49,7,-0.07,0.00,0.14,3 000.66,sl 2033.45
2024.01.03 18:02:44,8,XAUUSD,sell,in,0.02,2034.26,8,-0.07,0.00,0.00,3 000.59,
2024.01.03 18:13:23,9,XAUUSD,buy,out,0.02,2034.20,9,-0.07,0.00,0.12,3 000.64,sl 2034.15
2024.01.03 18:26:51,10,XAUUSD,sell,in,0.02,2034.20,10,-0.07,0.00,0.00,3 000.57,
2024.01.03 18:33:46,11,XAUUSD,buy,out,0.02,2033.64,11,-0.07,0.00,1.12,3 001.62,sl 2033.62
2024.01.03 18:50:57,12,XAUUSD,sell,in,0.02,2031.77,12,-0.07,0.00,0.00,3 001.55,
2024.01.03 19:01:55,13,XAUUSD,buy,out,0.02,2031.65,13,-0.07,0.00,0.24,3 001.72,sl 2031.65
2024.01.03 19:15:04,14,XAUUSD,sell,in,0.02,2033.21,14,-0.07,0.00,0.00,3 001.65,
2024.01.03 19:22:08,15,XAUUSD,buy,out,0.02,2033.21,15,-0.07,0.00,0.00,3 001.58,sl 2033.17
2024.01.03 19:39:13,16,XAUUSD,sell,in,0.02,2032.06,16,-0.07,0.00,0.00,3 001.51,
2024.01.03 19:42:50,17,XAUUSD,buy,out,0.02,2031.41,17,-0.07,0.00,1.30,3 002.74,sl 2031.37
2024.01.03 21:06:04,18,XAUUSD,sell,in,0.02,2031.87,18,-0.07,0.00,0.00,3 002.67,
2024.01.03 21:14:19,19,XAUUSD,buy,out,0.02,2031.25,19,-0.07,0.00,1.24,3 003.84,sl 2031.25
2024.01.12 16:34:16,20,XAUUSD,buy,in,0.02,2061.30,20,-0.07,0.00,0.00,3 003.77,
2024.01.12 16:37:29,21,XAUUSD,sell,out,0.02,2061.67,21,-0.07,0.00,0.74,3 004.44,sl 2061.75
2024.01.17 17:32:13,22,XAUUSD,sell,in,0.02,2006.74,22,-0.07,0.00,0.00,3 004.37,
2024.01.17 18:50:15,23,XAUUSD,buy,out,0.02,2005.56,23,-0.07,0.00,2.36,3 006.66,sl 2005.54
2024.01.17 18:50:22,24,XAUUSD,sell,in,0.02,2005.54,24,-0.07,0.00,0.00,3 006.59,
2024.01.17 18:52:16,25,XAUUSD,buy,out,0.02,2005.23,25,-0.07,0.00,0.62,3 007.14,sl 2005.22
2024.01.17 19:14:28,26,XAUUSD,sell,in,0.02,2004.67,26,-0.07,0.00,0.00,3 007.07,
2024.01.17 19:30:27,27,XAUUSD,buy,out,0.02,2004.17,27,-0.07,0.00,1.00,3 008.00,sl 2004.17
2024.01.17 19:38:35,28,XAUUSD,sell,in,0.02,2005.40,28,-0.07,0.00,0.00,3 007.93,
2024.01.17 20:06:43,29,XAUUSD,buy,out,0.02,2004.93,29,-0.07,0.00,0.94,3 008.80,sl 2004.92
2024.01.17 20:06:49,30,XAUUSD,sell,in,0.02,2004.78,30,-0.07,0.00,0.00,3 008.73,
