Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Swap,Profit,Balance,Comment
2023.01.01 00:00:00,1,,balance,,,,,0.00,0.00,3 000.00,3 000.00,
2023.01.03 09:26:12,2,XAUUSD,buy,in,0.02,1846.81,2,-0.07,0.00,0.00,2 999.93,
2023.01.03 09:29:40,3,XAUUSD,sell,out,0.02,1847.06,3,-0.07,0.00,0.50,3 000.36,sl 1847.09
2023.01.03 09:53:35,4,XAUUSD,buy,in,0.02,1846.71,4,-0.07,0.00,0.00,3 000.29,
2023.01.03 10:00:28,5,XAUUSD,sell,out,0.02,1847.51,5,-0.07,0.00,1.60,3 001.82,sl 1847.53
2023.01.04 09:38:47,6,XAUUSD,buy,in,0.02,1857.82,6,-0.07,0.00,0.00,3 001.75,
2023.01.04 09:45:19,7,XAUUSD,sell,out,0.02,1857.96,7,-0.07,0.00,0.28,3 001.96,sl 1858.00
2023.01.04 10:02:50,8,XAUUSD,buy,in,0.02,1859.91,8,-0.07,0.00,0.00,3 001.89,
2023.01.04 10:16:44,9,XAUUSD,sell,out,0.02,1862.19,9,-0.07,0.00,4.56,3 006.38,sl 1862.26
2023.01.04 10:26:57,10,XAUUSD,buy,in,0.02,1862.81,10,-0.07,0.00,0.00,3 006.31,
2023.01.04 10:31:33,11,XAUUSD,sell,out,0.02,1864.58,11,-0.07,0.00,3.54,3 009.78,sl 1864.59
2023.01.04 10:51:02,12,XAUUSD,buy,in,0.02,1859.84,12,-0.07,0.00,0.00,3 009.71,
2023.01.04 10:54:54,13,XAUUSD,sell,out,0.02,1860.60,13,-0.07,0.00,1.52,3 011.16,sl 1860.60
2023.01.04 11:15:09,14,XAUUSD,buy,in,0.02,1860.08,14,-0.07,0.00,0.00,3 011.09,
2023.01.04 11:16:46,15,XAUUSD,sell,out,0.02,1860.63,15,-0.07,0.00,1.10,3 012.12,sl 1860.63
2023.01.04 11:39:16,16,XAUUSD,buy,in,0.02,1860.84,16,-0.07,0.00,0.00,3 012.05,
2023.01.04 11:41:19,17,XAUUSD,sell,out,0.02,1860.92,17,-0.07,0.00,0.16,3 012.14,sl 1860.93
2023.01.04 12:03:28,18,XAUUSD,buy,in,0.02,1860.86,18,-0.07,0.00,0.00,3 012.07,
2023.01.04 12:12:29,19,XAUUSD,sell,out,0.02,1861.06,19,-0.07,0.00,0.40,3 012.40,sl 1861.07
2023.01.04 13:14:32,20,XAUUSD,buy,in,0.02,1861.57,20,-0.07,0.00,0.00,3 012.33,
2023.01.04 13:15:14,21,XAUUSD,sell,out,0.02,1861.59,21,-0.07,0.00,0.04,3 012.30,sl 1861.59
2023.01.09 03:45:52,22,XAUUSD,buy,in,0.02,1874.31,22,-0.07,0.00,0.00,3 012.23,
2023.01.09 03:53:28,23,XAUUSD,sell,out,0.02,1874.79,23,-0.07,0.00,0.96,3 013.12,sl 1874.80
2023.01.09 04:13:10,24,XAUUSD,buy,in,0.02,1875.26,24,-0.07,0.00,0.00,3 013.05,
2023.01.09 04:17:15,25,XAUUSD,sell,out,0.02,1876.28,25,-0.07,0.00,2.04,3 015.02,sl 1876.32
2023.01.09 04:37:22,26,XAUUSD,buy,in,0.02,1878.36,26,-0.07,0.00,0.00,3 014.95,
