Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Swap,Profit,Balance,Comment
2023.01.01 00:00:00,1,,balance,,,,,0.00,0.00,3 000.00,3 000.00,
2023.01.05 16:00:01,2,XAUUSD,buy,in,0.01,1834.79,2,-0.04,0.00,0.00,2 999.96,
2023.01.06 11:10:29,3,XAUUSD,sell,out,0.01,1835.98,3,-0.04,-0.52,1.19,3 000.59,sl 1835.99
2023.01.06 16:00:02,4,XAUUSD,sell,in,0.02,1852.03,4,-0.07,0.00,0.00,3 000.52,
2023.01.06 17:00:36,5,XAUUSD,buy,out,0.02,1848.63,5,-0.07,0.00,6.80,3 007.25,sl 1848.59
2023.01.06 17:00:36,6,XAUUSD,sell,in,0.01,1848.57,6,-0.04,0.00,0.00,3 007.21,
2023.01.06 20:34:41,7,XAUUSD,buy,out,0.01,1866.80,7,-0.04,0.00,-18.23,2 988.94,sl 1866.76
2023.01.17 13:00:07,8,XAUUSD,buy,in,0.02,1906.41,8,-0.07,0.00,0.00,2 988.87,
2023.01.17 15:03:52,9,XAUUSD,sell,out,0.02,1907.87,9,-0.07,0.00,2.92,2 991.72,sl 1907.89
2023.01.17 20:32:54,10,XAUUSD,buy,in,0.01,1905.89,10,-0.04,0.00,0.00,2 991.68,
2023.01.17 23:50:06,11,XAUUSD,sell,out,0.01,1908.35,11,-0.04,0.00,2.46,2 994.10,
2023.01.18 13:00:12,12,XAUUSD,sell,in,0.02,1914.49,12,-0.07,0.00,0.00,2 994.03,
2023.01.18 23:50:01,13,XAUUSD,buy,out,0.02,1903.95,13,-0.07,0.00,21.08,3 015.04,
2023.01.19 10:00:01,14,XAUUSD,sell,in,0.02,1911.48,14,-0.07,0.00,0.00,3 014.97,
2023.01.19 15:28:20,15,XAUUSD,buy,out,0.02,1911.67,15,-0.07,0.00,-0.38,3 014.52,sl 1911.48
2023.01.19 15:30:10,16,XAUUSD,buy,in,0.01,1908.71,16,-0.04,0.00,0.00,3 014.48,
2023.01.19 21:38:42,17,XAUUSD,sell,out,0.01,1930.76,17,-0.04,0.00,22.05,3 036.49,tp 1930.73
2023.01.23 16:45:18,18,XAUUSD,buy,in,0.01,1914.18,18,-0.04,0.00,0.00,3 036.45,
2023.01.23 17:04:01,19,XAUUSD,sell,out,0.01,1914.08,19,-0.04,0.00,-0.10,3 036.31,sl 1914.18
2023.01.23 17:45:23,20,XAUUSD,buy,in,0.01,1919.96,20,-0.04,0.00,0.00,3 036.27,
2023.01.23 19:09:45,21,XAUUSD,sell,out,0.01,1919.87,21,-0.04,0.00,-0.09,3 036.14,sl 1919.96
2023.01.23 20:01:49,22,XAUUSD,sell,in,0.01,1924.62,22,-0.04,0.00,0.00,3 036.10,
2023.01.24 17:12:34,23,XAUUSD,buy,out,0.01,1924.19,23,-0.04,0.45,0.43,3 036.94,sl 1924.19
2023.01.25 12:00:00,24,XAUUSD,buy,in,0.02,1928.07,24,-0.07,0.00,0.00,3 036.87,
2023.01.25 17:25:41,25,XAUUSD,sell,out,0.02,1929.16,25,-0.07,0.00,2.18,3 038.98,sl 1929.53
2023.01.25 19:00:02,26,XAUUSD,sell,in,0.01,1937.09,26,-0.04,0.00,0.00,3 038.94,
2023.01.26 15:31:38,27,XAUUSD,buy,out,0.01,1937.10,27,-0.04,1.34,-0.01,3 040.23,sl 1937.09
2023.01.26 17:56:31,28,XAUUSD,buy,in,0.01,1923.59,28,-0.04,0.00,0.00,3 040.19,
2023.01.26 23:50:03,29,XAUUSD,sell,out,0.01,1929.54,29,-0.04,0.00,5.95,3 046.10,
2023.01.31 21:01:30,30,XAUUSD,sell,in,0.01,1929.96,30,-0.04,0.00,0.00,3 046.06,
2023.01.31 23:50:01,31,XAUUSD,buy,out,0.01,1928.17,31,-0.04,0.00,1.79,3 047.81,
2023.02.02 19:00:00,32,XAUUSD,buy,in,0.01,1918.68,32,-0.04,0.00,0.00,3 047.77,
