Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Swap,Profit,Balance,Comment
2024.06.01 00:00:00,1,,balance,,,,,0.00,0.00,3 000.00,3 000.00,
2024.06.04 14:00:00,2,XAUUSD,buy,in,0.03,2329.29,2,-0.11,0.00,0.00,2 999.89,
2024.06.04 16:41:13,3,XAUUSD,sell,out,0.03,2329.28,3,-0.11,0.00,-0.03,2 999.75,sl 2329.29
2024.06.05 15:54:38,4,XAUUSD,sell,in,0.03,2343.86,4,-0.11,0.00,0.00,2 999.64,
2024.06.05 17:21:40,5,XAUUSD,buy,out,0.03,2343.87,5,-0.11,0.00,-0.03,2 999.50,sl 2343.86
2024.06.07 14:00:08,6,XAUUSD,buy,in,0.02,2333.07,6,-0.07,0.00,0.00,2 999.43,
2024.06.07 16:56:27,7,XAUUSD,sell,out,0.02,2305.28,7,-0.07,0.00,-55.58,2 943.78,sl 2305.29
2024.06.12 02:00:03,8,XAUUSD,sell,in,0.03,2317.11,8,-0.11,0.00,0.00,2 943.67,
2024.06.12 15:30:01,9,XAUUSD,buy,out,0.03,2324.00,9,-0.11,0.00,-20.67,2 922.89,sl 2317.11
2024.06.13 08:00:07,10,XAUUSD,buy,in,0.02,2312.29,10,-0.07,0.00,0.00,2 922.82,
2024.06.13 14:21:32,11,XAUUSD,sell,out,0.02,2312.28,11,-0.07,0.00,-0.02,2 922.73,sl 2312.29
2024.06.14 13:00:01,12,XAUUSD,sell,in,0.04,2322.71,12,-0.14,0.00,0.00,2 922.59,
2024.06.17 12:14:34,13,XAUUSD,buy,out,0.04,2322.73,13,-0.14,1.79,-0.08,2 924.16,sl 2322.71
2024.06.17 18:36:00,14,XAUUSD,buy,in,0.03,2312.78,14,-0.11,0.00,0.00,2 924.05,
2024.06.17 23:50:04,15,XAUUSD,sell,out,0.03,2318.94,15,-0.11,0.00,18.48,2 942.42,
2024.06.18 03:00:22,16,XAUUSD,sell,in,0.03,2321.96,16,-0.11,0.00,0.00,2 942.31,
2024.06.18 15:30:02,17,XAUUSD,buy,out,0.03,2318.44,17,-0.11,0.00,10.56,2 952.76,sl 2318.37
2024.06.18 18:19:49,18,XAUUSD,sell,in,0.02,2326.37,18,-0.07,0.00,0.00,2 952.69,
2024.06.20 16:48:10,19,XAUUSD,buy,out,0.02,2346.98,19,-0.07,3.59,-41.22,2 914.99,sl 2346.95
2024.06.21 19:00:03,20,XAUUSD,buy,in,0.02,2328.09,20,-0.07,0.00,0.00,2 914.92,
2024.06.24 23:50:14,21,XAUUSD,sell,out,0.02,2333.14,21,-0.07,-1.04,10.10,2 923.91,
2024.06.27 16:32:10,22,XAUUSD,sell,in,0.03,2324.22,22,-0.11,0.00,0.00,2 923.80,
2024.06.28 15:37:21,23,XAUUSD,buy,out,0.03,2339.15,23,-0.11,1.34,-44.79,2 880.24,sl 2339.06
2024.07.08 19:00:02,24,XAUUSD,buy,in,0.02,2354.75,24,-0.07,0.00,0.00,2 880.17,
2024.07.08 23:50:01,25,XAUUSD,sell,out,0.02,2358.63,25,-0.07,0.00,7.76,2 887.86,
2024.07.10 06:00:03,26,XAUUSD,sell,in,0.03,2369.44,26,-0.11,0.00,0.00,2 887.75,
2024.07.11 15:30:01,27,XAUUSD,buy,out,0.03,2389.19,27,-0.11,4.03,-59.25,2 832.42,sl 2388.04
2024.07.18 22:07:21,28,XAUUSD,buy,in,0.02,2445.82,28,-0.07,0.00,0.00,2 832.35,
2024.07.19 04:24:19,29,XAUUSD,sell,out,0.02,2423.45,29,-0.07,-1.04,-44.74,2 786.50,sl 2423.45
2024.07.24 02:00:06,30,XAUUSD,sell,in,0.03,2409.26,30,-0.11,0.00,0.00,2 786.39,
2024.07.24 16:48:02,31,XAUUSD,buy,out,0.03,2424.94,31,-0.11,0.00,-47.04,2 739.24,sl 2424.92
2024.07.25 01:02:03,32,XAUUSD,buy,in,0.02,2397.23,32,-0.07,0.00,0.00,2 739.17,
2024.07.25 04:42:43,33,XAUUSD,sell,out,0.02,2371.96,33,-0.07,0.00,-50.54,2 688.56,sl 2372.05
2024.07.26 22:00:01,34,XAUUSD,sell,in,0.02,2384.47,34,-0.07,0.00,0.00,2 688.49,
2024.07.29 22:35:07,35,XAUUSD,buy,out,0.02,2384.48,35,-0.07,0.90,-0.02,2 689.30,sl 2384.47
2024.08.05 02:49:48,36,XAUUSD,buy,in,0.01,2439.37,36,-0.04,0.00,0.00,2 689.26,
2024.08.05 14:39:31,37,XAUUSD,sell,out,0.01,2392.09,37,-0.04,0.00,-47.28,2 641.94,sl 2392.16
2024.08.08 14:00:05,38,XAUUSD,sell,in,0.02,2406.07,38,-0.07,0.00,0.00,2 641.87,
2024.08.08 17:26:06,39,XAUUSD,buy,out,0.02,2423.34,39,-0.07,0.00,-34.54,2 607.26,sl 2423.34
2024.08.14 19:00:01,40,XAUUSD,buy,in,0.01,2444.05,40,-0.04,0.00,0.00,2 607.22,
2024.08.14 23:50:05,41,XAUUSD,sell,out,0.01,2448.19,41,-0.04,0.00,4.14,2 611.32,
2024.08.15 14:56:26,42,XAUUSD,sell,in,0.04,2464.00,42,-0.14,0.00,0.00,2 611.18,
2024.08.15 16:26:52,43,XAUUSD,buy,out,0.04,2450.78,43,-0.14,0.00,52.88,2 663.92,sl 2450.76
2024.08.15 22:05:54,44,XAUUSD,sell,in,0.01,2460.32,44,-0.04,0.00,0.00,2 663.88,
2024.08.15 23:50:00,45,XAUUSD,buy,out,0.01,2455.64,45,-0.04,0.00,4.68,2 668.52,
2024.08.16 02:48:24,46,XAUUSD,sell,in,0.01,2458.17,46,-0.04,0.00,0.00,2 668.48,
2024.08.16 10:48:36,47,XAUUSD,buy,out,0.01,2458.17,47,-0.04,0.00,0.00,2 668.44,sl 2458.17
2024.08.16 10:52:33,48,XAUUSD,sell,in,0.03,2461.63,48,-0.11,0.00,0.00,2 668.33,
2024.08.16 15:32:12,49,XAUUSD,buy,out,0.03,2475.79,49,-0.11,0.00,-42.48,2 625.74,sl 2475.79
2024.08.22 07:38:29,50,XAUUSD,buy,in,0.02,2500.04,50,-0.07,0.00,0.00,2 625.67,
2024.08.22 14:38:13,51,XAUUSD,sell,out,0.02,2500.04,51,-0.07,0.00,0.00,2 625.60,sl 2500.04
2024.08.23 17:00:42,52,XAUUSD,sell,in,0.03,2507.00,52,-0.11,0.00,0.00,2 625.49,
2024.08.26 11:02:30,53,XAUUSD,buy,out,0.03,2523.27,53,-0.11,1.34,-48.81,2 577.91,sl 2523.26
2024.08.27 11:00:00,54,XAUUSD,buy,in,0.03,2505.05,54,-0.11,0.00,0.00,2 577.80,
2024.08.27 16:26:47,55,XAUUSD,sell,out,0.03,2505.05,55,-0.11,0.00,0.00,2 577.69,sl 2505.05
2024.08.28 10:00:03,56,XAUUSD,buy,in,0.03,2508.28,56,-0.11,0.00,0.00,2 577.58,
2024.08.29 15:30:51,57,XAUUSD,sell,out,0.03,2510.51,57,-0.11,-4.67,6.69,2 579.49,sl 2510.54
