"Window","Family","Net","Deals"
"2023H1","XAU","200.85","1154"
"2023H1","Stocks","21.16","290"
"2023H1","Index","-62.69","364"
"2023H1","BTC","-6.88","92"
"2023H1","FX","-24.54","26"
"2023H2","XAU","-17.72","1242"
"2023H2","Index","2.83","388"
"2023H2","Stocks","-104.65","242"
"2023H2","BTC","-0.13","56"
"2023H2","FX","-4.94","56"
"2024H1","BTC","4.05","98"
"2024H1","XAU","708.82","1326"
"2024H1","Stocks","321.25","184"
"2024H1","Index","-113.22","550"
"2024H1","FX","-8.45","92"
"2024H2","Index","131.11","426"
"2024H2","BTC","-18.42","60"
"2024H2","FX","-10.82","64"
"2024H2","XAU","297.9","1336"
"2024H2","Stocks","-8.91","28"
"2025H1","BTC","95.78","74"
"2025H1","Index","60.55","430"
"2025H1","FX","-6.01","64"
"2025H1","Stocks","201.01","320"
"2025H1","XAU","550.72","1430"
"2025H2","Stocks","199.59","458"
"2025H2","Index","-138.74","528"
"2025H2","BTC","735.35","114"
"2025H2","FX","2.04","14"
"2025H2","XAU","2715.54","1894"
"2026H1_partial","Index","-46.27","320"
"2026H1_partial","XAU","1291.91","1208"
"2026H1_partial","BTC","-23.99","84"
"2026H1_partial","Stocks","453.48","244"
"2026H1_partial","FX","0.39","16"
