Section,Key,Value
Setup,Expert,main
Setup,Symbol,EURUSD
Setup,Period,H1 (2023.01.01 - 2026.06.18)
Setup,Company,Raw Trading Ltd
Setup,Currency,USD
Setup,Initial Deposit,3 000.00
Setup,Leverage,1:1000
Setup,_title,Strategy Tester Report
Statistics,Initial Deposit,3 000.00
Statistics,Leverage,1:1000
Statistics,History Quality,99% real ticks
Statistics,Bars,21528
Statistics,Ticks,108357951
Statistics,Symbols,13
Statistics,Total Net Profit,186 704.24
Statistics,Balance Drawdown Absolute,441.62
Statistics,Equity Drawdown Absolute,477.54
Statistics,Gross Profit,614 793.86
Statistics,Balance Drawdown Maximal,28 864.49 (19.66%)
Statistics,Equity Drawdown Maximal,51 128.37 (32.81%)
Statistics,Gross Loss,-428 089.62
Statistics,Balance Drawdown Relative,45.53% (6 943.77)
Statistics,Equity Drawdown Relative,47.19% (7 238.16)
Statistics,Profit Factor,1.44
Statistics,Expected Payoff,40.55
Statistics,Margin Level,288.48%
Statistics,Recovery Factor,3.65
Statistics,Sharpe Ratio,1.98
Statistics,Z-Score,-4.20 (99.74%)
Statistics,AHPR,1.0013 (0.13%)
Statistics,LR Correlation,0.83
Statistics,OnTester result,0
Statistics,GHPR,1.0009 (0.09%)
Statistics,LR Standard Error,33 473.93
Statistics,Total Trades,4604
Statistics,Short Trades (won %),1752 (40.01%)
Statistics,Long Trades (won %),2852 (43.72%)
Statistics,Total Deals,9208
Statistics,Profit Trades (% of total),1948 (42.31%)
Statistics,Loss Trades (% of total),2656 (57.69%)
Statistics,Largest profit trade,31 091.65
Statistics,Largest loss trade,-13 430.48
Statistics,Average profit trade,315.60
Statistics,Average loss trade,-159.09
Statistics,Maximum consecutive wins ($),9 (1 824.33)
Statistics,Maximum consecutive losses ($),15 (-1 358.74)
Statistics,Maximal consecutive profit (count),32 863.82 (3)
Statistics,Maximal consecutive loss (count),-13 431.78 (2)
Statistics,Average consecutive wins,2
Statistics,Average consecutive losses,3
Statistics,"Correlation (Profits,MFE)",0.82
Statistics,"Correlation (Profits,MAE)",0.32
Statistics,"Correlation (MFE,MAE)",-0.1452
Statistics,Minimal position holding time,0:00:01
Statistics,Maximal position holding time,1147:00:00
Statistics,Average position holding time,7:20:27
