Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Swap,Profit,Balance,Comment
2024.01.01 00:00:00,1,,balance,,,,,0.00,0.00,3 000.00,3 000.00,
2024.01.02 01:00:21,2,XTIUSD,sell,in,0.5,71.74,2,0.00,0.00,0.00,3 000.00,WP Sell #M20260533
2024.01.02 02:00:00,3,BTCUSD,buy,in,0.25,44224.31,3,0.00,0.00,0.00,3 000.00,RSI Scalping Buy #M123459123
2024.01.02 02:01:24,4,BTCUSD,sell,out,0.25,44229.29,4,0.00,0.00,1.25,3 001.25,sl 44229.61
2024.01.02 03:00:00,5,XAUUSD,buy,in,0.02,2065.58,5,-0.07,0.00,0.00,3 001.18,SimpleTrendline BUY #M26042503
2024.01.02 07:00:00,6,XAUUSD,sell,in,0.07,2069.74,6,-0.25,0.00,0.00,3 000.93,RSI Reverse SELL #M1002
2024.01.02 07:00:00,7,XAUUSD,buy,out,0.07,2069.74,7,-0.25,0.00,0.00,3 000.68,
2024.01.02 08:00:02,8,XAUUSD,buy,in,0.25,2074.80,8,-0.88,0.00,0.00,2 999.80,RSI Scalping Buy #M129102315
2024.01.02 08:23:43,9,XAUUSD,sell,out,0.25,2075.99,9,-0.88,0.00,29.75,3 028.67,sl 2075.99
2024.01.02 12:09:12,10,XTIUSD,buy,out,0.5,73.24,10,0.00,0.00,-75.00,2 953.67,sl 73.24
2024.01.02 15:00:00,11,XAUUSD,sell,out,0.02,2067.94,11,-0.07,0.00,4.72,2 958.32,
2024.01.02 16:45:00,12,NVDA.NAS,sell,in,24.6,47.89,12,-0.49,0.00,0.00,2 957.83,RSI Scalping Sell #M20003
2024.01.02 17:00:00,13,NVDA.NAS,buy,out,24.6,47.90,13,-0.49,0.00,-0.25,2 957.09,
2024.01.02 19:00:00,14,NVDA.NAS,buy,in,24.6,48.23,14,-0.49,0.00,0.00,2 956.60,RSI Scalping Buy #M20003
2024.01.02 19:00:00,15,XTIUSD,sell,in,0.5,70.71,15,0.00,0.00,0.00,2 956.60,WP Sell #M20260533
2024.01.02 19:00:00,16,XBRUSD,sell,in,0.5,76.35,16,0.00,0.00,0.00,2 956.60,WP Sell #M20260534
2024.01.02 19:15:03,17,DE40,buy,in,0.2,16783.10,17,0.00,0.00,0.00,2 956.60,SimpleTrendline BUY #M26042502
2024.01.02 19:30:01,18,DE40,sell,out,0.2,16774.40,18,0.00,0.00,-1.91,2 954.69,
2024.01.03 02:00:00,19,XAUUSD,buy,in,0.07,2059.81,19,-0.25,0.00,0.00,2 954.44,RSI Follow BUY #M1001
2024.01.03 09:00:00,20,DE40,sell,in,0.2,16723.90,20,0.00,0.00,0.00,2 954.44,SimpleTrendline SELL #M26042502
2024.01.03 09:15:06,21,DE40,buy,out,0.2,16731.70,21,0.00,0.00,-1.71,2 952.73,
2024.01.03 11:39:59,22,XBRUSD,buy,out,0.5,75.70,22,0.00,-5.64,32.50,2 979.59,sl 75.70
2024.01.03 12:00:00,23,XAUUSD,sell,out,0.07,2056.75,23,-0.25,0.00,-21.42,2 957.92,
2024.01.03 13:12:45,24,XTIUSD,buy,out,0.5,70.08,24,0.00,-1.83,31.50,2 987.59,sl 70.08
2024.01.03 17:00:00,25,MU.NAS,buy,in,24.8,82.16,25,-0.50,0.00,0.00,2 987.09,RSI Scalping Buy #M20004
2024.01.04 02:00:00,26,XAUUSD,buy,in,0.02,2043.03,26,-0.07,0.00,0.00,2 987.02,SimpleTrendline BUY #M26042503
2024.01.04 03:00:00,27,XAUUSD,sell,out,0.02,2042.22,27,-0.07,0.00,-1.62,2 985.33,
2024.01.04 09:00:00,28,AUDUSD,buy,in,0.04,0.67532,28,-0.14,0.00,0.00,2 985.19,WP Buy #M20260525
2024.01.04 11:45:00,29,XAUUSD,buy,in,0.04,2049.95,29,-0.14,0.00,0.00,2 985.05,United SuperEMA long #M940001
2024.01.04 13:00:00,30,XAUUSD,sell,out,0.04,2047.96,30,-0.14,0.00,-7.96,2 976.95,
2024.01.04 14:00:00,31,XAUUSD,sell,in,0.04,2045.13,31,-0.14,0.00,0.00,2 976.81,United SuperEMA short #M940001
2024.01.04 14:45:00,32,DE40,buy,in,0.2,16559.70,32,0.00,0.00,0.00,2 976.81,SimpleTrendline BUY #M26042502
2024.01.04 15:00:00,33,XAUUSD,buy,in,0.02,2046.24,33,-0.07,0.00,0.00,2 976.74,SimpleTrendline BUY #M26042503
2024.01.04 15:32:10,34,AUDUSD,sell,out,0.04,0.67132,34,-0.14,0.00,-16.00,2 960.60,sl 0.67132
2024.01.04 15:45:00,35,DE40,sell,out,0.2,16518.70,35,0.00,0.00,-8.97,2 951.63,
2024.01.04 16:00:00,36,XAUUSD,sell,out,0.02,2040.32,36,-0.07,0.00,-11.84,2 939.72,
2024.01.04 17:30:00,37,XAUUSD,buy,out,0.04,2047.06,37,-0.14,0.00,-7.72,2 931.86,
2024.01.05 02:00:00,38,XAUUSD,buy,in,0.05,2044.34,38,-0.18,0.00,0.00,2 931.68,RSI Follow BUY #M1001
2024.01.05 09:00:01,39,XAUUSD,sell,out,0.05,2042.27,39,-0.18,0.00,-10.35,2 921.15,
2024.01.05 16:15:01,40,DE40,sell,in,0.1,16506.30,40,0.00,0.00,0.00,2 921.15,SimpleTrendline SELL #M26042502
2024.01.05 16:30:00,41,DE40,buy,out,0.1,16533.30,41,0.00,0.00,-2.96,2 918.19,
