strategy,magic,trades,wins,win_pct,gross_profit,gross_loss,net_profit,profit_factor,swap
RSI Follow BUY,1001,12,4,33.3,1011.95,-2258.33,-1246.38,0.45,-86.70
SimpleTrendline BUY,26042502,105,34,32.4,345.26,-818.71,-473.45,0.42,-4.36
Darvas Box Breakout,135790,15,6,40.0,72.93,-396.81,-323.88,0.18,0.00
EMA Crossover Trade BUY,12350,125,59,47.2,3359.38,-3490.68,-131.30,0.96,-11.98
WP Buy,20260524,90,51,56.7,122.71,-109.08,13.63,1.12,-1.75
RSI Reverse BUY,1002,2,2,100.0,19.92,0.00,19.92,999.00,0.00
RSI Oversold Crossover Buy,30,2,2,100.0,41.48,0.00,41.48,999.00,0.00
United SuperEMA long,940001,72,34,47.2,1165.36,-865.51,299.85,1.35,-15.92
RSI Scalping Sell,20003,185,99,53.5,5441.42,-5117.89,323.53,1.06,-87.87
RSI Reverse SELL,1002,5,2,40.0,513.22,-70.62,442.60,7.27,0.00
WP Sell,20260534,9,6,66.7,1535.74,-25.03,1510.71,61.36,-46.80
United SuperEMA short,940001,38,14,36.8,5707.26,-3266.00,2441.26,1.75,-42.27
SimpleTrendline SELL,26042502,92,33,35.9,7638.95,-2447.81,5191.14,3.12,-22.12
RSI Scalping Buy,20004,278,141,50.7,13769.60,-5464.90,8304.70,2.52,-174.74
