strategy,magic,trades,wins,win_pct,gross_profit,gross_loss,net_profit,profit_factor,swap
United SuperEMA long,940001,76,37,48.7,120.05,-408.57,-288.52,0.29,-16.11
RSI Overbought Crossover Sell #,,7,0,0.0,0.00,-239.03,-239.03,0.00,0.00
WP Buy,20260526,65,33,50.8,119.03,-349.50,-230.47,0.34,-1.66
RSI Reverse BUY,1002,6,3,50.0,23.23,-202.62,-179.39,0.11,-5.71
SimpleTrendline BUY,26042503,111,34,30.6,233.72,-386.44,-152.72,0.60,-17.00
RSI Reverse SELL,1002,10,4,40.0,29.43,-106.40,-76.97,0.28,0.00
EMA Cross Distance SELL,1003,3,0,0.0,0.00,-21.63,-21.63,0.00,0.00
SimpleTrendline SELL,26042503,95,27,28.4,260.19,-265.12,-4.93,0.98,-17.66
RSI Follow SELL,1001,2,1,50.0,18.44,-20.30,-1.86,0.91,2.82
Darvas Box Breakout,135790,11,4,36.4,386.61,-387.80,-1.19,1.00,-6.28
EMA Cross Distance BUY,1003,1,1,100.0,9.15,0.00,9.15,999.00,0.00
RSI Oversold Crossover Buy,7,3,3,100.0,30.94,0.00,30.94,999.00,0.00
RSI Follow BUY,1001,14,4,28.6,271.85,-39.37,232.48,6.91,-71.88
RSI Scalping Sell,129102315,193,97,50.3,3251.57,-2933.58,317.99,1.11,-200.17
United SuperEMA short,940001,60,24,40.0,731.80,-263.31,468.49,2.78,-73.26
WP Sell,20260528,35,26,74.3,763.62,-200.54,563.08,3.81,-69.76
RSI Scalping Buy,129102315,266,155,58.3,2927.03,-2066.34,860.69,1.42,-95.08
