strategy,magic,trades,wins,win_pct,gross_profit,gross_loss,net_profit,profit_factor,swap
United SuperEMA long,940001,446,203,45.5,10616.09,-18256.73,-7640.64,0.58,-331.75
SimpleTrendline SELL,26042503,632,182,28.8,21343.10,-27032.75,-5689.65,0.79,-86.85
RSI Reverse SELL,1002,81,25,30.9,1889.96,-6423.14,-4533.18,0.29,-242.35
RSI Follow SELL,1001,3,1,33.3,18.44,-4383.05,-4364.61,0.00,33.05
Darvas Box Breakout,135790,68,31,45.6,3183.99,-4761.65,-1577.66,0.67,-27.02
EMA Cross Distance BUY,1003,4,3,75.0,74.00,-652.08,-578.08,0.11,-37.67
RSI Overbought Crossover Sell #,,41,24,58.5,836.25,-1228.22,-391.97,0.68,12.79
WP Sell,20260528,193,97,50.3,2699.20,-3045.88,-346.68,0.89,-293.69
WP Buy,20260526,481,255,53.0,6534.35,-6382.67,151.67,1.02,-32.05
RSI Follow BUY,1001,71,22,31.0,7291.68,-6827.70,463.98,1.07,-657.46
RSI Reverse BUY,1002,22,13,59.1,1519.23,-987.78,531.45,1.54,-31.40
RSI Oversold Crossover Buy,7,17,12,70.6,1968.70,-444.61,1524.09,4.43,0.00
SimpleTrendline BUY,26042503,702,222,31.6,17260.26,-13734.07,3526.18,1.26,-572.61
EMA Cross Distance SELL,1003,4,1,25.0,5781.00,-21.63,5759.37,267.27,0.00
EMA Crossover Trade BUY,12350,476,245,51.5,62397.57,-42040.53,20357.04,1.48,-561.94
RSI Scalping Sell,129102315,998,558,55.9,167134.39,-118090.86,49043.52,1.42,-1280.27
United SuperEMA short,940001,305,132,43.3,80952.02,-29464.02,51488.00,2.75,-363.91
RSI Scalping Buy,129102315,1561,861,55.2,231803.75,-134218.32,97585.43,1.73,-3056.01
