strategy,magic,trades,wins,win_pct,gross_profit,gross_loss,net_profit,profit_factor,swap
RSI Scalping Buy,129102315,91,54,59.3,571.09,-832.62,-261.53,0.69,-17.40
WP Buy,20260528,30,14,46.7,22.92,-225.75,-202.83,0.10,2.27
SimpleTrendline BUY,26042503,53,12,22.6,75.18,-159.97,-84.79,0.47,-15.38
RSI Reverse SELL,1002,6,1,16.7,2.00,-85.52,-83.52,0.02,0.00
United SuperEMA long,940001,22,8,36.4,13.27,-90.79,-77.52,0.15,1.75
United SuperEMA short,940001,32,8,25.0,106.45,-150.71,-44.26,0.71,-39.89
EMA Cross Distance SELL,1003,2,0,0.0,0.00,-18.25,-18.25,0.00,0.00
RSI Overbought Crossover Sell #,,1,0,0.0,0.00,-1.50,-1.50,0.00,0.00
RSI Follow SELL,1001,2,1,50.0,18.44,-16.24,2.20,1.14,2.42
RSI Reverse BUY,1002,1,1,100.0,8.46,0.00,8.46,999.00,0.00
RSI Oversold Crossover Buy,30,1,1,100.0,13.60,0.00,13.60,999.00,0.00
SimpleTrendline SELL,26042503,48,12,25.0,127.87,-105.20,22.67,1.22,-4.39
RSI Scalping Sell,20001,61,30,49.2,834.91,-658.84,176.07,1.27,-63.10
RSI Follow BUY,1001,7,2,28.6,198.78,-17.94,180.84,11.08,-53.54
WP Sell,20260525,11,11,100.0,184.44,0.00,184.44,999.00,-41.01
Darvas Box Breakout,135790,4,2,50.0,348.87,-2.55,346.32,136.81,-5.71
