strategy,magic,trades,wins,win_pct,gross_profit,gross_loss,net_profit,profit_factor,swap
SimpleTrendline BUY,26042503,235,77,32.8,850.34,-1993.25,-1142.91,0.43,-76.58
RSI Reverse SELL,1002,31,10,32.3,125.67,-1267.40,-1141.73,0.10,1.42
United SuperEMA long,940001,150,61,40.7,1025.76,-1635.87,-610.11,0.63,-59.70
EMA Cross Distance BUY,1003,2,1,50.0,3.15,-592.80,-589.65,0.01,-34.25
RSI Reverse BUY,1002,8,4,50.0,36.10,-608.77,-572.67,0.06,-23.97
RSI Follow BUY,1001,24,8,33.3,86.15,-441.94,-355.79,0.19,-2.86
SimpleTrendline SELL,26042502,203,55,27.1,1078.76,-1434.21,-355.45,0.75,-21.92
Darvas Box Breakout,135790,28,15,53.6,261.17,-539.40,-278.23,0.48,7.56
WP Sell,20260533,47,25,53.2,659.64,-904.61,-244.97,0.73,-151.97
RSI Oversold Crossover Buy,30,7,3,42.9,85.55,-315.43,-229.88,0.27,0.00
RSI Overbought Crossover Sell #,,17,12,70.6,139.96,-331.80,-191.84,0.42,4.85
WP Buy,20260525,78,43,55.1,236.52,-314.55,-78.03,0.75,17.36
United SuperEMA short,940001,91,40,44.0,1889.38,-1365.54,523.84,1.38,-57.84
EMA Crossover Trade BUY,12350,84,48,57.1,3176.11,-783.65,2392.46,4.05,-95.31
RSI Scalping Sell,20003,220,127,57.7,10469.32,-5085.38,5383.94,2.06,-334.18
RSI Scalping Buy,123459123,431,238,55.2,12334.20,-6139.99,6194.21,2.01,-519.86
