Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Swap,Profit,Balance,Comment
2025.01.01 00:00:00,1,,balance,,,,,0.00,0.00,3 000.00,3 000.00,
2025.01.02 11:33:42,2,BTCUSD,buy,in,0.01,96258.06,2,0.00,0.00,0.00,3 000.00,WP Buy #M20260527
2025.01.02 12:00:00,3,BTCUSD,buy,in,0.25,96535.88,3,0.00,0.00,0.00,3 000.00,RSI Scalping Buy #M123459123
2025.01.02 12:00:02,4,BTCUSD,sell,out,0.25,96529.57,4,0.00,0.00,-1.58,2 998.42,sl 96538.37
2025.01.02 12:30:00,5,DE40,buy,in,0.2,19885.60,5,0.00,0.00,0.00,2 998.42,SimpleTrendline BUY #M26042502
2025.01.02 13:00:00,6,DE40,sell,out,0.2,19861.10,6,0.00,0.00,-5.05,2 993.37,
2025.01.02 13:22:44,7,BTCUSD,sell,out,0.01,96463.26,7,0.00,0.00,2.05,2 995.42,sl 96464.06
2025.01.02 17:00:00,8,EURUSD,sell,in,0.04,1.03039,8,-0.14,0.00,0.00,2 995.28,WP Sell #M20260524
2025.01.02 17:00:00,9,BTCUSD,buy,in,0.24,97218.18,9,0.00,0.00,0.00,2 995.28,RSI Scalping Buy #M123459123
2025.01.02 17:00:04,10,BTCUSD,sell,out,0.24,97214.59,10,0.00,0.00,-0.86,2 994.42,sl 97227.76
2025.01.02 18:07:46,11,EURUSD,buy,out,0.04,1.02546,11,-0.14,0.00,19.72,3 014.00,sl 1.02546
2025.01.02 20:45:00,12,DE40,buy,in,0.2,19933.70,12,0.00,0.00,0.00,3 014.00,SimpleTrendline BUY #M26042502
2025.01.02 21:00:00,13,DE40,sell,out,0.2,19924.90,13,0.00,0.00,-1.80,3 012.20,
2025.01.02 23:30:03,14,DE40,buy,in,0.2,19985.30,14,0.00,0.00,0.00,3 012.20,SimpleTrendline BUY #M26042502
2025.01.02 23:45:10,15,DE40,sell,out,0.2,19966.70,15,0.00,0.00,-3.81,3 008.39,
2025.01.03 11:30:01,16,DE40,buy,in,0.2,19971.00,16,0.00,0.00,0.00,3 008.39,SimpleTrendline BUY #M26042502
2025.01.03 12:15:01,17,DE40,sell,out,0.2,19938.50,17,0.00,0.00,-6.67,3 001.72,
2025.01.03 21:00:00,18,BTCUSD,buy,in,0.25,98501.84,18,0.00,0.00,0.00,3 001.72,RSI Scalping Buy #M123459123
2025.01.03 21:00:08,19,BTCUSD,sell,out,0.25,98524.97,19,0.00,0.00,5.78,3 007.50,sl 98527.64
2025.01.03 22:34:51,20,BTCUSD,buy,in,0.01,98531.97,20,0.00,0.00,0.00,3 007.50,WP Buy #M20260527
2025.01.04 01:31:05,21,BTCUSD,sell,out,0.01,98022.77,21,0.00,0.00,-5.09,3 002.41,sl 98031.97
2025.01.06 04:13:13,22,EURUSD,sell,in,0.12,1.03175,22,-0.42,0.00,0.00,3 001.99,RSI Overbought Crossover Sell #
2025.01.06 07:44:54,23,EURUSD,buy,out,0.12,1.03128,23,-0.42,0.00,5.64,3 007.21,
2025.01.06 08:09:46,24,BTCUSD,buy,in,0.01,99541.59,24,0.00,0.00,0.00,3 007.21,WP Buy #M20260527
2025.01.06 10:41:43,25,BTCUSD,sell,out,0.01,99036.06,25,0.00,0.00,-5.06,3 002.15,sl 99041.59
2025.01.06 13:15:00,26,DE40,buy,in,0.2,20045.60,26,0.00,0.00,0.00,3 002.15,SimpleTrendline BUY #M26042502
2025.01.06 17:00:00,27,BTCUSD,buy,in,0.25,100751.41,27,0.00,0.00,0.00,3 002.15,RSI Scalping Buy #M123459123
2025.01.06 17:00:00,28,BTCUSD,sell,out,0.25,100751.52,28,0.00,0.00,0.03,3 002.18,sl 100752.68
2025.01.06 19:00:01,29,TSLA.NAS,sell,in,37.5,408.83,29,-0.75,0.00,0.00,3 001.43,RSI Scalping Sell #M125421321
2025.01.06 19:00:49,30,BTCUSD,buy,in,0.01,102097.37,30,0.00,0.00,0.00,3 001.43,WP Buy #M20260527
2025.01.06 19:39:37,31,BTCUSD,sell,out,0.01,101605.24,31,0.00,0.00,-4.92,2 996.51,sl 101605.45
2025.01.06 22:15:05,32,DE40,sell,out,0.2,20120.70,32,0.00,0.00,15.49,3 012.00,
2025.01.06 23:15:00,33,DE40,buy,in,0.1,20151.90,33,0.00,0.00,0.00,3 012.00,SimpleTrendline BUY #M26042502
2025.01.07 01:15:02,34,DE40,sell,out,0.1,20152.80,34,0.00,-0.46,0.09,3 011.63,
2025.01.07 10:00:00,35,DE40,buy,in,0.1,20185.80,35,0.00,0.00,0.00,3 011.63,SimpleTrendline BUY #M26042502
2025.01.07 10:15:00,36,DE40,sell,out,0.1,20169.30,36,0.00,0.00,-1.70,3 009.93,
2025.01.07 17:00:00,37,NVDA.NAS,sell,in,25,146.20,37,-0.50,0.00,0.00,3 009.43,RSI Scalping Sell #M20003
2025.01.07 17:15:00,38,NVDA.NAS,buy,out,25,145.44,38,-0.50,0.00,19.00,3 027.93,
2025.01.07 20:15:00,39,NVDA.NAS,buy,in,25.2,143.23,39,-0.50,0.00,0.00,3 027.43,RSI Scalping Buy #M20003
2025.01.07 22:00:00,40,NVDA.NAS,sell,out,25.2,141.24,40,-0.50,0.00,-50.15,2 976.78,
2025.01.07 22:00:01,41,MU.NAS,sell,in,24.8,102.19,41,-0.50,0.00,0.00,2 976.28,RSI Scalping Sell #M20004
2025.01.07 22:15:00,42,MU.NAS,buy,out,24.8,101.89,42,-0.50,0.00,7.44,2 983.22,
2025.01.07 23:15:00,43,DE40,buy,in,0.1,20306.30,43,0.00,0.00,0.00,2 983.22,SimpleTrendline BUY #M26042502
2025.01.07 23:45:01,44,DE40,sell,out,0.1,20299.90,44,0.00,0.00,-0.66,2 982.56,
2025.01.08 06:32:01,45,DE40,sell,in,0.1,20308.70,45,0.00,0.00,0.00,2 982.56,SimpleTrendline SELL #M26042502
2025.01.08 07:15:09,46,DE40,buy,out,0.1,20312.70,46,0.00,0.00,-0.41,2 982.15,
2025.01.08 10:30:00,47,DE40,buy,in,0.1,20376.50,47,0.00,0.00,0.00,2 982.15,SimpleTrendline BUY #M26042502
2025.01.08 13:45:00,48,DE40,sell,out,0.1,20310.10,48,0.00,0.00,-6.85,2 975.30,
2025.01.08 16:35:00,49,TSLA.NAS,buy,out,37.5,399.19,49,-0.75,0.00,361.50,3 336.05,sl 399.12
