strategy,magic,trades,wins,win_pct,gross_profit,gross_loss,net_profit,profit_factor,swap
RSIConsolidation SELL,2025042,385,183,47.5,13703.42,-24949.11,-11245.69,0.55,-780.54
SimpleTrendline SELL,26042503,651,191,29.3,22326.76,-29920.09,-7593.33,0.75,-112.55
RSIConsolidation BUY,20250420,39,15,38.5,827.24,-6296.23,-5468.99,0.13,-188.72
United SuperEMA long,940001,439,209,47.6,12462.48,-16858.60,-4396.12,0.74,-309.84
RSI Reverse SELL,1002,88,33,37.5,2134.81,-5487.03,-3352.22,0.39,-40.81
RSI Follow BUY,1001,84,23,27.4,3939.82,-7018.49,-3078.67,0.56,-157.12
Darvas Box Breakout,135790,70,33,47.1,3170.81,-4783.12,-1612.31,0.66,-25.08
RSI Follow SELL,1001,4,1,25.0,0.02,-1491.05,-1491.03,0.00,13.43
RSI Overbought Crossover Sell #,,40,23,57.5,783.83,-1035.89,-252.06,0.76,12.19
WP Buy,20260526,509,265,52.1,6687.79,-6920.77,-232.99,0.97,32.07
WP Sell,20260528,190,97,51.1,2611.05,-2731.82,-120.77,0.96,-593.00
EMA Cross Distance BUY,1003,7,5,71.4,84.53,-0.69,83.84,122.51,0.00
RSI Reverse BUY,1002,26,15,57.7,1405.13,-295.47,1109.66,4.76,-28.02
RSI Oversold Crossover Buy,7,17,12,70.6,1982.26,-310.74,1671.52,6.38,0.00
SimpleTrendline BUY,26042503,725,228,31.4,16199.02,-13845.45,2353.57,1.17,-458.75
EMA Cross Distance SELL,1003,4,1,25.0,5781.00,-21.63,5759.37,267.27,0.00
EMA Crossover Trade BUY,12350,489,254,51.9,64936.18,-41221.19,23714.99,1.58,-507.48
United SuperEMA short,940001,299,136,45.5,82105.60,-27251.67,54853.93,3.01,-310.70
RSI Scalping Sell,129102315,877,490,55.9,140371.23,-79022.66,61348.56,1.78,-1036.91
RSI Scalping Buy,129102315,1476,848,57.5,154066.44,-78929.12,75137.32,1.95,-2274.10
