strategy,magic,trades,wins,win_pct,gross_profit,gross_loss,net_profit,profit_factor,swap
United SuperEMA long,940001,347,145,41.8,5902.74,-11624.73,-5721.99,0.51,-254.67
RSI Reverse SELL,1002,104,33,31.7,1725.62,-4818.47,-3092.85,0.36,-27.97
RSIConsolidation BUY,20250420,42,13,31.0,512.31,-3345.03,-2832.72,0.15,-114.50
RSI Follow BUY,1001,89,26,29.2,1137.85,-3289.94,-2152.09,0.35,-23.08
RSI Follow SELL,1001,5,1,20.0,9.23,-1205.73,-1196.50,0.01,10.75
SimpleTrendline BUY,26042503,679,176,25.9,7917.76,-8921.25,-1003.49,0.89,-215.27
WP Sell,20260528,216,111,51.4,2036.56,-2908.93,-872.37,0.70,-692.20
RSI Overbought Crossover Sell #,,39,23,59.0,580.20,-795.36,-215.16,0.73,10.32
WP Buy,20260526,382,192,50.3,4285.95,-4062.89,223.06,1.05,63.95
Darvas Box Breakout,135790,40,24,60.0,2701.35,-2236.96,464.39,1.21,-59.19
SimpleTrendline SELL,26042503,690,195,28.3,17230.52,-16648.24,582.28,1.03,-79.94
RSIConsolidation SELL,2025042,453,216,47.7,19272.16,-18669.47,602.69,1.03,-988.02
RSI Oversold Crossover Buy,7,17,12,70.6,1524.75,-208.34,1316.41,7.32,0.00
RSI Reverse BUY,1002,25,12,48.0,2131.09,-587.35,1543.74,3.63,-121.41
EMA Cross Distance SELL,1003,2,1,50.0,4624.80,-16.52,4608.28,279.95,0.00
EMA Crossover Trade BUY,12350,441,209,47.4,44798.16,-31561.48,13236.68,1.42,-555.53
United SuperEMA short,940001,313,130,41.5,49493.54,-17945.09,31548.45,2.76,67.54
RSI Scalping Sell,129102315,966,570,59.0,110538.20,-78673.63,31864.56,1.41,-512.28
RSI Scalping Buy,129102315,1213,682,56.2,125435.12,-74922.62,50512.50,1.67,-101.80
