Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Swap,Profit,Balance,Comment
2023.01.01 00:00:00,1,,balance,,,,,0.00,0.00,3 000.00,3 000.00,
2023.01.03 03:00:00,2,XAUUSD,buy,in,0.01,1830.61,2,-0.04,0.00,0.00,2 999.96,WP Buy #M20260526
2023.01.03 04:45:00,3,XAUUSD,buy,in,0.03,1838.41,3,-0.11,0.00,0.00,2 999.85,United SuperEMA long #M940001
2023.01.03 10:09:38,4,XAUUSD,sell,out,0.01,1842.47,4,-0.04,0.00,11.86,3 011.67,sl 1842.48
2023.01.03 10:30:00,5,XAUUSD,sell,out,0.03,1840.57,5,-0.11,0.00,6.48,3 018.04,
2023.01.03 11:00:00,6,XAUUSD,sell,in,0.2,1836.12,6,-0.70,0.00,0.00,3 017.34,RSI Scalping Sell #M129102315
2023.01.03 11:02:39,7,XAUUSD,buy,out,0.2,1836.32,7,-0.70,0.00,-4.00,3 012.64,sl 1836.31
2023.01.03 12:00:00,8,XAUUSD,buy,in,0.02,1838.89,8,-0.07,0.00,0.00,3 012.57,SimpleTrendline BUY #M26042503
2023.01.03 13:00:00,9,XAUUSD,sell,out,0.02,1834.48,9,-0.07,0.00,-8.82,3 003.68,
2023.01.03 13:00:01,10,XAUUSD,sell,in,0.02,1834.48,10,-0.07,0.00,0.00,3 003.61,SimpleTrendline SELL #M26042503
2023.01.03 15:45:00,11,XAUUSD,buy,in,0.04,1839.94,11,-0.14,0.00,0.00,3 003.47,United SuperEMA long #M940001
2023.01.03 16:00:00,12,XAUUSD,buy,in,0.2,1839.00,12,-0.70,0.00,0.00,3 002.77,RSI Scalping Buy #M129102315
2023.01.03 16:00:01,13,XAUUSD,buy,out,0.02,1839.00,13,-0.07,0.00,-9.04,2 993.66,
2023.01.03 16:18:13,14,XAUUSD,sell,out,0.2,1839.70,14,-0.70,0.00,14.00,3 006.96,sl 1839.71
2023.01.03 17:00:00,15,TSLA.NAS,sell,in,30,111.64,15,-0.60,0.00,0.00,3 006.36,RSI Scalping Sell #M125421321
2023.01.03 17:30:00,16,XAUUSD,sell,out,0.04,1833.55,16,-0.14,0.00,-25.56,2 980.66,
2023.01.03 17:45:00,17,NVDA.NAS,sell,in,19.8,14.10,17,-0.40,0.00,0.00,2 980.26,RSI Scalping Sell #M20003
2023.01.03 19:00:00,18,AAPL.NAS,sell,in,0.1,124.738,18,-0.02,0.00,0.00,2 980.24,WP Sell #M20260528
2023.01.03 19:00:00,19,TSLA.NAS,sell,in,0.1,106.68,19,-0.02,0.00,0.00,2 980.22,WP Sell #M20260530
2023.01.03 19:00:00,20,NVDA.NAS,buy,out,19.8,14.14,20,-0.40,0.00,-0.79,2 979.03,
2023.01.03 19:00:01,21,TSLA.NAS,buy,out,30,106.68,21,-0.60,0.00,148.80,3 127.23,
2023.01.03 19:07:43,22,AAPL.NAS,buy,out,0.1,124.942,22,-0.02,0.00,-0.02,3 127.19,sl 124.938
2023.01.03 19:15:01,23,NVDA.NAS,buy,in,20.8,14.21,23,-0.42,0.00,0.00,3 126.77,RSI Scalping Buy #M20003
2023.01.03 20:00:00,24,AAPL.NAS,sell,in,0.1,124.555,24,-0.02,0.00,0.00,3 126.75,WP Sell #M20260528
2023.01.03 20:01:36,25,AAPL.NAS,buy,out,0.1,124.544,25,-0.02,0.00,0.00,3 126.73,sl 124.539
2023.01.03 20:55:37,26,TSLA.NAS,buy,out,0.1,106.46,26,-0.02,0.00,0.02,3 126.73,sl 106.45
2023.01.03 22:00:01,27,XTIUSD,sell,in,0.5,76.90,27,0.00,0.00,0.00,3 126.73,WP Sell #M20260533
2023.01.03 22:00:01,28,XBRUSD,sell,in,0.5,81.78,28,0.00,0.00,0.00,3 126.73,WP Sell #M20260534
2023.01.03 23:30:03,29,XAUUSD,buy,in,0.04,1839.41,29,-0.14,0.00,0.00,3 126.59,United SuperEMA long #M940001
2023.01.04 01:15:01,30,XAUUSD,sell,out,0.04,1838.65,30,-0.14,-2.08,-3.04,3 121.33,
2023.01.04 03:00:01,31,XAUUSD,buy,in,0.02,1838.80,31,-0.07,0.00,0.00,3 121.26,SimpleTrendline BUY #M26042503
2023.01.04 03:30:01,32,XAUUSD,buy,in,0.04,1839.98,32,-0.14,0.00,0.00,3 121.12,United SuperEMA long #M940001
2023.01.04 06:00:00,33,BTCUSD,buy,in,0.2,16858.18,33,0.00,0.00,0.00,3 121.12,RSI Scalping Buy #M123459123
