strategy,magic,trades,wins,win_pct,gross_profit,gross_loss,net_profit,profit_factor,swap
RSI Reverse SELL,1002,39,14,35.9,71.23,-558.61,-487.38,0.13,3.86
RSIConsolidation SELL,2025042,156,74,47.4,480.51,-947.19,-466.68,0.51,-48.69
SimpleTrendline BUY,26042503,264,86,32.6,579.93,-1045.82,-465.89,0.55,-54.34
RSIConsolidation BUY,20250420,14,4,28.6,74.42,-450.58,-376.16,0.17,-25.78
Darvas Box Breakout,135790,34,19,55.9,193.17,-562.80,-369.63,0.34,2.72
RSI Follow BUY,1001,32,7,21.9,38.96,-259.49,-220.53,0.15,-1.71
WP Sell,20260533,51,29,56.9,692.67,-834.24,-141.57,0.83,-305.09
SimpleTrendline SELL,26042502,238,65,27.3,752.95,-867.95,-115.00,0.87,-28.30
RSI Reverse BUY,1002,10,6,60.0,23.28,-123.42,-100.14,0.19,0.00
RSI Overbought Crossover Sell #,,20,15,75.0,85.85,-174.44,-88.59,0.49,2.59
RSI Oversold Crossover Buy,30,8,4,50.0,76.11,-140.90,-64.79,0.54,0.00
WP Buy,20260525,90,53,58.9,184.93,-240.02,-55.09,0.77,49.55
United SuperEMA long,940001,151,66,43.7,800.14,-841.82,-41.68,0.95,-60.09
EMA Cross Distance BUY,1003,3,3,100.0,24.71,0.00,24.71,999.00,0.00
United SuperEMA short,940001,98,46,46.9,1122.17,-759.42,362.75,1.48,-29.96
EMA Crossover Trade BUY,12350,105,60,57.1,2701.12,-511.15,2189.97,5.28,-62.76
RSI Scalping Sell,20003,228,132,57.9,5490.12,-2471.26,3018.86,2.22,-170.05
RSI Scalping Buy,123459123,484,274,56.6,7258.72,-2794.07,4464.65,2.60,-245.74
