Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Swap,Profit,Balance,Comment
2024.01.01 00:00:00,1,,balance,,,,,0.00,0.00,3 000.00,3 000.00,
2024.01.02 01:00:21,2,XTIUSD,sell,in,0.5,71.74,2,0.00,0.00,0.00,3 000.00,WP Sell #M20260533
2024.01.02 02:00:00,3,BTCUSD,buy,in,0.15,44224.31,3,0.00,0.00,0.00,3 000.00,RSI Scalping Buy #M123459123
2024.01.02 02:01:24,4,BTCUSD,sell,out,0.15,44229.29,4,0.00,0.00,0.75,3 000.75,sl 44229.61
2024.01.02 03:00:00,5,XAUUSD,buy,in,0.01,2065.58,5,-0.04,0.00,0.00,3 000.71,SimpleTrendline BUY #M26042503
2024.01.02 04:15:15,6,XAUUSD,sell,in,0.03,2064.74,6,-0.11,0.00,0.00,3 000.60,RSIConsolidation SELL #M2025042
2024.01.02 04:15:16,7,XAUUSD,buy,out,0.03,2064.79,7,-0.11,0.00,-0.15,3 000.34,
2024.01.02 06:45:00,8,XAUUSD,sell,in,0.03,2070.03,8,-0.11,0.00,0.00,3 000.23,RSIConsolidation SELL #M2025042
2024.01.02 07:00:00,9,XAUUSD,sell,in,0.04,2069.74,9,-0.14,0.00,0.00,3 000.09,RSI Reverse SELL #M1002
2024.01.02 07:00:00,10,XAUUSD,buy,out,0.04,2069.74,10,-0.14,0.00,0.00,2 999.95,
2024.01.02 07:46:06,11,XAUUSD,buy,out,0.03,2072.74,11,-0.11,0.00,-8.13,2 991.71,sl 2072.71
2024.01.02 08:00:02,12,XAUUSD,buy,in,0.14,2074.80,12,-0.49,0.00,0.00,2 991.22,RSI Scalping Buy #M129102315
2024.01.02 08:23:43,13,XAUUSD,sell,out,0.14,2075.99,13,-0.49,0.00,16.66,3 007.39,sl 2075.99
2024.01.02 10:15:00,14,XAUUSD,sell,in,0.03,2074.13,14,-0.11,0.00,0.00,3 007.28,RSIConsolidation SELL #M2025042
2024.01.02 10:30:00,15,XAUUSD,buy,out,0.03,2072.78,15,-0.11,0.00,4.05,3 011.22,
2024.01.02 12:09:12,16,XTIUSD,buy,out,0.5,73.24,16,0.00,0.00,-75.00,2 936.22,sl 73.24
2024.01.02 12:30:00,17,XAUUSD,sell,in,0.02,2074.76,17,-0.07,0.00,0.00,2 936.15,RSIConsolidation SELL #M2025042
2024.01.02 12:30:01,18,XAUUSD,buy,out,0.02,2074.91,18,-0.07,0.00,-0.30,2 935.78,
2024.01.02 15:00:00,19,XAUUSD,sell,out,0.01,2067.94,19,-0.04,0.00,2.36,2 938.10,
2024.01.02 16:45:00,20,NVDA.NAS,sell,in,14.6,47.89,20,-0.29,0.00,0.00,2 937.81,RSI Scalping Sell #M20003
2024.01.02 17:00:00,21,NVDA.NAS,buy,out,14.6,47.90,21,-0.29,0.00,-0.15,2 937.37,
2024.01.02 19:00:00,22,NVDA.NAS,buy,in,14.6,48.23,22,-0.29,0.00,0.00,2 937.08,RSI Scalping Buy #M20003
2024.01.02 19:00:00,23,XTIUSD,sell,in,0.5,70.71,23,0.00,0.00,0.00,2 937.08,WP Sell #M20260533
2024.01.02 19:00:00,24,XBRUSD,sell,in,0.5,76.35,24,0.00,0.00,0.00,2 937.08,WP Sell #M20260534
2024.01.02 19:15:03,25,DE40,buy,in,0.1,16783.10,25,0.00,0.00,0.00,2 937.08,SimpleTrendline BUY #M26042502
2024.01.02 19:30:01,26,DE40,sell,out,0.1,16774.40,26,0.00,0.00,-0.95,2 936.13,
2024.01.03 02:00:00,27,XAUUSD,buy,in,0.04,2059.81,27,-0.14,0.00,0.00,2 935.99,RSI Follow BUY #M1001
2024.01.03 03:00:01,28,XAUUSD,sell,in,0.02,2060.24,28,-0.07,0.00,0.00,2 935.92,RSIConsolidation SELL #M2025042
2024.01.03 03:00:04,29,XAUUSD,buy,out,0.02,2060.32,29,-0.07,0.00,-0.16,2 935.69,
2024.01.03 03:45:00,30,XAUUSD,sell,in,0.01,2061.42,30,-0.04,0.00,0.00,2 935.65,RSIConsolidation SELL #M2025042
2024.01.03 04:38:54,31,XAUUSD,buy,out,0.01,2064.72,31,-0.04,0.00,-3.30,2 932.31,sl 2064.69
2024.01.03 07:30:00,32,XAUUSD,sell,in,0.01,2063.69,32,-0.04,0.00,0.00,2 932.27,RSIConsolidation SELL #M2025042
2024.01.03 07:30:01,33,XAUUSD,buy,out,0.01,2063.79,33,-0.04,0.00,-0.10,2 932.13,
2024.01.03 09:00:00,34,DE40,sell,in,0.1,16723.90,34,0.00,0.00,0.00,2 932.13,SimpleTrendline SELL #M26042502
2024.01.03 09:15:06,35,DE40,buy,out,0.1,16731.70,35,0.00,0.00,-0.85,2 931.28,
2024.01.03 11:39:59,36,XBRUSD,buy,out,0.5,75.70,36,0.00,-5.64,32.50,2 958.14,sl 75.70
2024.01.03 12:00:00,37,XAUUSD,sell,out,0.04,2056.75,37,-0.14,0.00,-12.24,2 945.76,
2024.01.03 12:15:13,38,XAUUSD,buy,in,0.01,2055.79,38,-0.04,0.00,0.00,2 945.72,RSIConsolidation BUY #M20250420
2024.01.03 13:12:45,39,XTIUSD,buy,out,0.5,70.08,39,0.00,-7.25,31.50,2 969.97,sl 70.08
2024.01.03 13:33:30,40,XAUUSD,sell,out,0.01,2051.03,40,-0.04,0.00,-4.76,2 965.17,sl 2051.40
2024.01.03 17:00:00,41,MU.NAS,buy,in,14.8,82.16,41,-0.30,0.00,0.00,2 964.87,RSI Scalping Buy #M20004
