strategy,magic,trades,wins,win_pct,gross_profit,gross_loss,net_profit,profit_factor,swap
United SuperEMA long,940001,59,22,37.3,144.78,-1331.06,-1186.28,0.11,-6.27
SimpleTrendline SELL,26042502,129,40,31.0,986.68,-2149.51,-1162.83,0.46,7.30
EMA Crossover Trade BUY,12350,156,79,50.6,1883.02,-2536.19,-653.17,0.74,1.04
RSIConsolidation SELL,2025042,71,39,54.9,1285.64,-1862.35,-576.71,0.69,-69.00
RSIConsolidation BUY,20250420,7,0,0.0,0.00,-466.08,-466.08,0.00,-20.55
SimpleTrendline BUY,26042502,113,31,27.4,385.25,-810.42,-425.17,0.48,-4.42
RSI Follow SELL,1001,2,0,0.0,0.00,-59.16,-59.16,0.00,0.40
RSI Overbought Crossover Sell #,,8,3,37.5,37.67,-93.11,-55.44,0.40,1.32
WP Sell,20260527,68,28,41.2,203.74,-242.45,-38.71,0.84,0.62
Darvas Box Breakout,135790,3,1,33.3,331.92,-359.17,-27.25,0.92,-5.14
RSI Reverse BUY,1002,2,1,50.0,20.48,-18.03,2.45,1.14,0.00
RSI Follow BUY,1001,19,6,31.6,157.31,-139.93,17.38,1.12,0.00
RSI Oversold Crossover Buy,30,4,4,100.0,222.36,0.00,222.36,999.00,0.00
EMA Cross Distance SELL,1003,1,1,100.0,539.56,0.00,539.56,999.00,0.00
WP Buy,20260526,182,96,52.7,3148.25,-2330.32,817.93,1.35,14.59
RSI Reverse SELL,1002,22,9,40.9,1127.42,-115.03,1012.39,9.80,-34.39
United SuperEMA short,940001,72,37,51.4,4130.22,-1563.58,2566.64,2.64,19.82
RSI Scalping Sell,20001,219,125,57.1,10686.87,-7237.50,3449.37,1.48,-18.82
RSI Scalping Buy,129102315,304,177,58.2,16472.14,-8355.42,8116.72,1.97,-78.87
