Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Swap,Profit,Balance,Comment
2026.01.01 00:00:00,1,,balance,,,,,0.00,0.00,3 000.00,3 000.00,
2026.01.02 03:45:00,2,DE40,buy,in,0.1,24522.70,2,0.00,0.00,0.00,3 000.00,SimpleTrendline BUY #M26042502
2026.01.02 04:00:00,3,XAUUSD,sell,in,0.03,4348.08,3,-0.11,0.00,0.00,2 999.89,RSIConsolidation SELL #M2025042
2026.01.02 04:00:01,4,DE40,sell,out,0.1,24507.70,4,0.00,0.00,-1.76,2 998.13,
2026.01.02 04:56:56,5,XAUUSD,buy,out,0.03,4361.26,5,-0.11,0.00,-39.54,2 958.48,sl 4361.23
2026.01.02 05:00:01,6,XAUUSD,buy,in,0.14,4362.88,6,-0.49,0.00,0.00,2 957.99,RSI Scalping Buy #M129102315
2026.01.02 05:00:35,7,XAUUSD,sell,out,0.14,4363.25,7,-0.49,0.00,5.18,2 962.68,sl 4363.30
2026.01.02 12:00:00,8,XAUUSD,buy,in,0.07,4385.58,8,-0.25,0.00,0.00,2 962.43,EMA Crossover Trade BUY #M12350
2026.01.02 12:27:15,9,XAUUSD,sell,out,0.07,4386.16,9,-0.25,0.00,4.06,2 966.24,sl 4386.25
2026.01.02 13:00:00,10,XAUUSD,buy,in,0.07,4396.26,10,-0.25,0.00,0.00,2 965.99,EMA Crossover Trade BUY #M12350
2026.01.02 13:00:00,11,BTCUSD,buy,in,0.14,89595.50,11,0.00,0.00,0.00,2 965.99,RSI Scalping Buy #M123459123
2026.01.02 13:00:02,12,BTCUSD,sell,out,0.14,89592.50,12,0.00,0.00,-0.42,2 965.57,sl 89596.80
2026.01.02 13:12:17,13,XAUUSD,sell,out,0.07,4394.00,13,-0.25,0.00,-15.82,2 949.50,sl 4394.20
2026.01.02 14:00:00,14,XAUUSD,buy,in,0.07,4393.14,14,-0.25,0.00,0.00,2 949.25,EMA Crossover Trade BUY #M12350
2026.01.02 14:14:04,15,XAUUSD,sell,out,0.07,4393.70,15,-0.25,0.00,3.92,2 952.92,sl 4393.70
2026.01.02 15:00:00,16,XAUUSD,buy,in,0.07,4394.62,16,-0.25,0.00,0.00,2 952.67,EMA Crossover Trade BUY #M12350
2026.01.02 15:19:43,17,XAUUSD,sell,out,0.07,4398.61,17,-0.25,0.00,27.93,2 980.35,sl 4398.68
2026.01.02 16:45:00,18,NVDA.NAS,buy,in,14.9,191.80,18,-0.30,0.00,0.00,2 980.05,RSI Scalping Buy #M20003
2026.01.02 16:50:00,19,AAPL.NAS,buy,in,7.4,277.410,19,-0.15,0.00,0.00,2 979.90,RSI Scalping Buy #M20001
2026.01.02 16:50:40,20,AAPL.NAS,sell,out,7.4,277.660,20,-0.15,0.00,1.85,2 981.60,sl 277.670
2026.01.02 17:00:01,21,AAPL.NAS,sell,in,7.4,276.900,21,-0.15,0.00,0.00,2 981.45,RSI Scalping Sell #M20001
2026.01.02 17:07:02,22,AAPL.NAS,buy,out,7.4,276.740,22,-0.15,0.00,1.18,2 982.48,sl 276.740
2026.01.02 17:58:34,23,NVDA.NAS,sell,out,14.9,189.12,23,-0.30,0.00,-39.93,2 942.25,sl 189.13
2026.01.02 19:00:00,24,BTCUSD,buy,in,0.14,90343.50,24,0.00,0.00,0.00,2 942.25,RSI Scalping Buy #M123459123
2026.01.02 19:00:02,25,BTCUSD,sell,out,0.14,90360.50,25,0.00,0.00,2.38,2 944.63,sl 90360.80
2026.01.02 21:15:00,26,NVDA.NAS,buy,in,14.7,189.11,26,-0.29,0.00,0.00,2 944.34,RSI Scalping Buy #M20003
2026.01.02 23:00:00,27,XAUUSD,buy,in,0.04,4331.69,27,-0.14,0.00,0.00,2 944.20,RSI Follow BUY #M1001
2026.01.05 02:00:00,28,XAUUSD,buy,in,0.14,4372.60,28,-0.49,0.00,0.00,2 943.71,RSI Scalping Buy #M129102315
2026.01.05 02:00:50,29,XAUUSD,sell,out,0.14,4374.02,29,-0.49,0.00,19.88,2 963.10,sl 4374.02
2026.01.05 03:00:00,30,BTCUSD,buy,in,0.14,92381.00,30,0.00,0.00,0.00,2 963.10,RSI Scalping Buy #M123459123
2026.01.05 03:00:01,31,BTCUSD,sell,out,0.14,92399.00,31,0.00,0.00,2.52,2 965.62,sl 92399.30
2026.01.05 07:00:00,32,XAUUSD,sell,in,0.04,4404.08,32,-0.14,0.00,0.00,2 965.48,RSI Reverse SELL #M1002
2026.01.05 07:00:00,33,XAUUSD,buy,out,0.04,4404.20,33,-0.14,0.00,-0.48,2 964.86,
2026.01.05 10:45:00,34,DE40,buy,in,0.1,24764.50,34,0.00,0.00,0.00,2 964.86,SimpleTrendline BUY #M26042502
2026.01.05 11:30:01,35,DE40,sell,out,0.1,24726.80,35,0.00,0.00,-4.40,2 960.46,
2026.01.05 12:00:00,36,XAUUSD,buy,in,0.07,4434.99,36,-0.25,0.00,0.00,2 960.21,EMA Crossover Trade BUY #M12350
2026.01.05 12:03:52,37,XAUUSD,sell,out,0.07,4431.48,37,-0.25,0.00,-24.57,2 935.39,sl 4431.52
2026.01.05 13:00:00,38,XAUUSD,buy,in,0.07,4436.42,38,-0.25,0.00,0.00,2 935.14,EMA Crossover Trade BUY #M12350
2026.01.05 13:01:51,39,XAUUSD,sell,out,0.07,4433.62,39,-0.25,0.00,-19.60,2 915.29,sl 4433.62
2026.01.05 14:00:00,40,XAUUSD,buy,in,0.05,4419.64,40,-0.18,0.00,0.00,2 915.11,EMA Crossover Trade BUY #M12350
2026.01.05 14:00:00,41,XAUUSD,sell,in,0.11,4419.70,41,-0.39,0.00,0.00,2 914.72,RSI Scalping Sell #M129102315
2026.01.05 14:00:31,42,XAUUSD,buy,out,0.11,4419.76,42,-0.39,0.00,-0.66,2 913.67,sl 4419.62
2026.01.05 14:06:39,43,XAUUSD,sell,out,0.05,4417.68,43,-0.18,0.00,-9.80,2 903.69,sl 4417.69
2026.01.05 17:15:00,44,DE40,buy,in,0.1,24804.70,44,0.00,0.00,0.00,2 903.69,SimpleTrendline BUY #M26042502
2026.01.05 18:00:00,45,XAUUSD,buy,in,0.05,4448.63,45,-0.18,0.00,0.00,2 903.51,EMA Crossover Trade BUY #M12350
2026.01.05 18:03:53,46,XAUUSD,sell,out,0.05,4447.71,46,-0.18,0.00,-4.60,2 898.73,sl 4447.73
2026.01.05 19:00:04,47,NVDA.NAS,sell,out,14.7,189.19,47,-0.29,-0.01,1.18,2 899.61,sl 189.19
2026.01.06 04:00:00,48,XAUUSD,buy,in,0.03,4450.65,48,-0.11,0.00,0.00,2 899.50,EMA Crossover Trade BUY #M12350
