strategy,magic,trades,wins,win_pct,gross_profit,gross_loss,net_profit,profit_factor,swap
RSIConsolidation SELL,2025042,428,213,49.8,3966.19,-7004.04,-3037.85,0.57,-248.30
SimpleTrendline SELL,26042503,731,220,30.1,5715.91,-7229.59,-1513.67,0.79,-66.78
RSI Reverse SELL,1002,101,36,35.6,494.85,-1716.01,-1221.16,0.29,-19.70
RSI Follow BUY,1001,95,30,31.6,477.78,-1587.65,-1109.87,0.30,-7.16
RSIConsolidation BUY,20250420,53,18,34.0,403.01,-1512.87,-1109.86,0.27,-53.22
United SuperEMA long,940001,467,225,48.2,3411.45,-4447.82,-1036.37,0.77,-142.64
RSI Follow SELL,1001,5,1,20.0,0.01,-261.39,-261.38,0.00,3.13
SimpleTrendline BUY,26042503,802,250,31.2,4057.52,-4215.26,-157.74,0.96,-161.67
RSI Overbought Crossover Sell #,,44,26,59.1,333.23,-427.75,-94.52,0.78,4.27
RSI Oversold Crossover Buy,7,19,12,63.2,409.87,-320.75,89.12,1.28,0.00
EMA Cross Distance BUY,1003,8,7,87.5,94.16,-0.36,93.80,261.56,0.00
RSI Reverse BUY,1002,23,15,65.2,309.21,-180.67,128.54,1.71,-12.96
WP Sell,20260528,225,123,54.7,1977.72,-1773.25,204.47,1.12,-666.74
WP Buy,20260526,538,286,53.2,3627.53,-3402.04,225.49,1.07,85.09
EMA Cross Distance SELL,1003,3,1,33.3,1002.04,-9.99,992.05,100.30,0.00
Darvas Box Breakout,135790,83,42,50.6,3338.17,-1937.60,1400.57,1.72,-105.11
EMA Crossover Trade BUY,12350,580,305,52.6,19741.05,-12611.72,7129.33,1.57,-251.96
United SuperEMA short,940001,345,160,46.4,16829.21,-6261.46,10567.75,2.69,-64.96
RSI Scalping Sell,129102315,1143,649,56.8,48436.77,-30633.82,17802.95,1.58,-417.92
RSI Scalping Buy,129102315,1881,1036,55.1,64059.37,-38243.73,25815.64,1.68,-751.96
