strategy,magic,trades,wins,win_pct,gross_profit,gross_loss,net_profit,profit_factor,swap
RSIConsolidation SELL,2025042,377,178,47.2,14072.15,-25609.62,-11537.47,0.55,-763.90
RSIConsolidation BUY,20250420,38,10,26.3,858.17,-6643.62,-5785.45,0.13,-207.55
SimpleTrendline SELL,26042503,626,182,29.1,21289.26,-26994.67,-5705.41,0.79,-83.87
United SuperEMA long,940001,444,207,46.6,12186.70,-17653.98,-5467.28,0.69,-319.00
RSI Reverse SELL,1002,89,33,37.1,2163.58,-6319.15,-4155.57,0.34,-67.89
Darvas Box Breakout,135790,71,33,46.5,3239.64,-4998.25,-1758.61,0.65,-21.12
RSI Follow SELL,1001,4,1,25.0,0.03,-1486.99,-1486.96,0.00,12.99
WP Sell,20260528,196,100,51.0,2719.95,-3062.99,-343.04,0.89,-615.66
RSI Overbought Crossover Sell #,,40,23,57.5,852.81,-1184.12,-331.31,0.72,14.56
WP Buy,20260526,487,257,52.8,6904.21,-6825.95,78.26,1.01,23.42
EMA Cross Distance BUY,1003,7,5,71.4,118.50,-0.74,117.76,160.14,0.00
RSI Follow BUY,1001,83,24,28.9,6117.82,-5898.93,218.89,1.04,-298.12
RSI Reverse BUY,1002,25,16,64.0,1520.57,-361.49,1159.08,4.21,-28.54
RSI Oversold Crossover Buy,30,18,12,66.7,1974.84,-445.10,1529.74,4.44,0.00
SimpleTrendline BUY,26042503,697,221,31.7,17445.77,-13972.71,3473.07,1.25,-520.54
EMA Cross Distance SELL,1003,4,1,25.0,5781.00,-21.63,5759.37,267.27,0.00
EMA Crossover Trade BUY,12350,475,252,53.1,64819.59,-40976.92,23842.67,1.58,-523.44
RSI Scalping Sell,129102315,995,559,56.2,166970.70,-115308.56,51662.13,1.45,-1154.03
United SuperEMA short,940001,307,134,43.6,80476.03,-27531.36,52944.67,2.92,-264.65
RSI Scalping Buy,129102315,1600,884,55.2,233220.57,-125591.06,107629.51,1.86,-2402.10
