strategy,magic,trades,wins,win_pct,gross_profit,gross_loss,net_profit,profit_factor,swap
SimpleTrendline SELL,26042503,641,188,29.3,24220.67,-30222.98,-6002.31,0.80,-68.70
United SuperEMA long,940001,440,205,46.6,11622.11,-16715.89,-5093.78,0.70,-355.05
RSI Follow SELL,1001,3,1,33.3,18.44,-4383.05,-4364.61,0.00,33.05
RSI Reverse SELL,1002,85,29,34.1,3508.35,-6932.54,-3424.19,0.51,-158.33
EMA Cross Distance BUY,1003,6,5,83.3,270.35,-652.08,-381.73,0.41,-37.67
WP Sell,20260528,196,102,52.0,2706.32,-3037.78,-331.46,0.89,-602.63
Darvas Box Breakout,135790,82,35,42.7,5756.07,-6084.05,-327.98,0.95,-104.65
RSI Overbought Crossover Sell #,,41,24,58.5,829.22,-1154.98,-325.76,0.72,12.79
RSI Follow BUY,1001,76,25,32.9,7486.44,-7783.80,-297.36,0.96,-628.95
WP Buy,20260526,500,264,52.8,7159.53,-6803.38,356.14,1.05,13.21
RSI Reverse BUY,1002,20,12,60.0,1514.17,-868.78,645.39,1.74,-31.40
RSI Oversold Crossover Buy,7,17,12,70.6,1965.01,-379.99,1585.02,5.17,0.00
SimpleTrendline BUY,26042503,718,227,31.6,17435.80,-13411.49,4024.31,1.30,-574.62
EMA Cross Distance SELL,1003,4,1,25.0,5781.00,-21.63,5759.37,267.27,0.00
EMA Crossover Trade BUY,12350,511,273,53.4,66108.18,-42167.24,23940.94,1.57,-566.33
RSI Scalping Sell,129102315,1013,568,56.1,164864.14,-114292.60,50571.53,1.44,-1280.14
United SuperEMA short,940001,310,136,43.9,81585.95,-28287.55,53298.40,2.88,-342.14
RSI Scalping Buy,129102315,1600,878,54.9,256471.88,-134586.13,121885.75,1.91,-3346.00
