strategy,magic,trades,wins,win_pct,gross_profit,gross_loss,net_profit,profit_factor,swap
RSI Reverse SELL,1002,93,29,31.2,297.50,-2091.24,-1793.74,0.14,-62.56
RSI Follow BUY,1001,79,26,32.9,582.67,-1793.59,-1210.92,0.32,-35.53
United SuperEMA long,940001,324,155,47.8,2047.78,-3188.74,-1140.96,0.64,-82.53
RSIConsolidation SELL,2025042,263,131,49.8,2335.55,-3365.78,-1030.23,0.69,-125.17
RSIConsolidation BUY,20250420,32,9,28.1,104.49,-1064.09,-959.60,0.10,-42.16
EMA Crossover Trade BUY,12350,337,169,50.1,4972.50,-5329.44,-356.94,0.93,-63.22
SimpleTrendline SELL,26042503,457,138,30.2,3798.49,-4093.33,-294.84,0.93,-9.00
RSI Follow SELL,1001,4,1,25.0,0.01,-243.77,-243.76,0.00,2.42
RSI Overbought Crossover Sell #,,39,21,53.8,182.56,-332.85,-150.29,0.55,3.05
RSI Reverse BUY,1002,22,15,68.2,643.77,-721.86,-78.09,0.89,-46.80
EMA Cross Distance BUY,1003,6,5,83.3,31.91,-0.36,31.55,88.64,0.00
WP Sell,20260528,153,85,55.6,1636.09,-1542.58,93.51,1.06,-632.71
RSI Oversold Crossover Buy,7,17,11,64.7,329.76,-171.20,158.56,1.93,0.00
WP Buy,20260526,377,212,56.2,2631.85,-2257.74,374.11,1.17,66.02
Darvas Box Breakout,135790,76,39,51.3,1197.71,-703.89,493.82,1.70,-16.55
SimpleTrendline BUY,26042503,518,168,32.4,3345.45,-2697.75,647.70,1.24,-134.96
EMA Cross Distance SELL,1003,3,1,33.3,1002.04,-9.99,992.05,100.30,0.00
RSI Scalping Sell,129102315,844,473,56.0,26941.01,-17361.23,9579.78,1.55,-262.94
United SuperEMA short,940001,217,97,44.7,19057.96,-4536.98,14520.98,4.20,-224.95
RSI Scalping Buy,129102315,1221,718,58.8,32935.50,-17766.59,15168.91,1.85,-440.51
