strategy,magic,trades,wins,win_pct,gross_profit,gross_loss,net_profit,profit_factor,swap
SimpleTrendline BUY,26042503,842,266,31.6,3547.64,-6385.73,-2838.09,0.56,-212.12
RSIConsolidation BUY,20250420,40,11,27.5,198.84,-2644.39,-2445.55,0.08,-137.00
SimpleTrendline SELL,26042502,456,103,22.6,1325.73,-3322.03,-1996.29,0.40,-13.63
RSI Follow BUY,1001,84,29,34.5,2019.63,-3733.11,-1713.48,0.54,-209.53
RSI Reverse BUY,1002,33,11,33.3,363.80,-1662.91,-1299.11,0.22,-33.66
RSI Overbought Crossover Sell #,,41,23,56.1,316.41,-425.55,-109.14,0.74,3.93
RSIConsolidation SELL,2025042,9,5,55.6,11.34,-23.87,-12.53,0.48,1.21
United SuperEMA short,940001,17,6,35.3,109.60,-121.96,-12.36,0.90,1.61
RSI Reverse SELL,1002,2,1,50.0,2.47,-6.30,-3.83,0.39,0.00
WP Sell,20260528,209,110,52.6,1767.65,-1768.84,-1.19,1.00,-667.79
EMA Cross Distance BUY,1003,11,9,81.8,125.87,-0.72,125.15,174.82,-5.14
RSI Oversold Crossover Buy,7,22,14,63.6,461.57,-281.98,179.59,1.64,0.00
WP Buy,20260526,449,229,51.0,3474.27,-2412.47,1061.79,1.44,76.87
Darvas Box Breakout,135790,121,49,40.5,5197.43,-3424.35,1773.08,1.52,-165.48
RSI Scalping Sell,20003,565,313,55.4,26863.49,-22313.50,4549.99,1.20,-2.23
United SuperEMA long,940001,492,235,47.8,11054.33,-5927.16,5127.17,1.87,-568.49
EMA Crossover Trade BUY,12350,612,302,49.3,26041.13,-10298.36,15742.77,2.53,-538.19
RSI Scalping Buy,129102315,1825,1017,55.7,71028.10,-42831.05,28197.05,1.66,-1307.17
