Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Swap,Profit,Balance,Comment
2023.01.01 00:00:00,1,,balance,,,,,0.00,0.00,3 000.00,3 000.00,
2023.01.03 03:00:00,2,XAUUSD,buy,in,0.01,1830.61,2,-0.04,0.00,0.00,2 999.96,WP Buy #M20260526
2023.01.03 04:45:00,3,XAUUSD,buy,in,0.02,1838.41,3,-0.07,0.00,0.00,2 999.89,United SuperEMA long #M940001
2023.01.03 06:00:02,4,XAUUSD,buy,in,0.01,1841.38,4,-0.04,0.00,0.00,2 999.85,SimpleTrendline BUY #M26042503
2023.01.03 10:09:38,5,XAUUSD,sell,out,0.01,1842.47,5,-0.04,0.00,11.86,3 011.67,sl 1842.48
2023.01.03 10:30:00,6,XAUUSD,sell,out,0.02,1840.57,6,-0.07,0.00,4.32,3 015.92,
2023.01.03 11:00:00,7,XAUUSD,sell,out,0.01,1836.12,7,-0.04,0.00,-5.26,3 010.62,
2023.01.03 12:00:00,8,XAUUSD,buy,in,0.01,1838.89,8,-0.04,0.00,0.00,3 010.58,SimpleTrendline BUY #M26042503
2023.01.03 13:00:00,9,XAUUSD,sell,out,0.01,1834.48,9,-0.04,0.00,-4.41,3 006.13,
2023.01.03 15:45:00,10,XAUUSD,buy,in,0.03,1839.94,10,-0.11,0.00,0.00,3 006.02,United SuperEMA long #M940001
2023.01.03 16:00:00,11,XAUUSD,buy,in,0.15,1839.00,11,-0.53,0.00,0.00,3 005.49,RSI Scalping Buy #M129102315
2023.01.03 16:18:13,12,XAUUSD,sell,out,0.15,1839.70,12,-0.53,0.00,10.50,3 015.46,sl 1839.71
2023.01.03 17:00:00,13,TSLA.NAS,sell,in,22.6,111.64,13,-0.45,0.00,0.00,3 015.01,RSI Scalping Sell #M125421321
2023.01.03 17:30:00,14,XAUUSD,sell,out,0.03,1833.55,14,-0.11,0.00,-19.17,2 995.73,
2023.01.03 17:45:00,15,NVDA.NAS,sell,in,14.9,14.10,15,-0.30,0.00,0.00,2 995.43,RSI Scalping Sell #M20003
2023.01.03 19:00:00,16,AAPL.NAS,sell,in,0.1,124.738,16,-0.02,0.00,0.00,2 995.41,WP Sell #M20260528
2023.01.03 19:00:00,17,TSLA.NAS,sell,in,0.1,106.68,17,-0.02,0.00,0.00,2 995.39,WP Sell #M20260530
2023.01.03 19:00:00,18,NVDA.NAS,buy,out,14.9,14.14,18,-0.30,0.00,-0.60,2 994.49,
2023.01.03 19:00:01,19,TSLA.NAS,buy,out,22.6,106.68,19,-0.45,0.00,112.10,3 106.14,
2023.01.03 19:07:43,20,AAPL.NAS,buy,out,0.1,124.942,20,-0.02,0.00,-0.02,3 106.10,sl 124.938
2023.01.03 19:15:01,21,NVDA.NAS,buy,in,15.5,14.21,21,-0.31,0.00,0.00,3 105.79,RSI Scalping Buy #M20003
2023.01.03 20:00:00,22,AAPL.NAS,sell,in,0.1,124.555,22,-0.02,0.00,0.00,3 105.77,WP Sell #M20260528
2023.01.03 20:01:36,23,AAPL.NAS,buy,out,0.1,124.544,23,-0.02,0.00,0.00,3 105.75,sl 124.539
2023.01.03 20:55:37,24,TSLA.NAS,buy,out,0.1,106.46,24,-0.02,0.00,0.02,3 105.75,sl 106.45
2023.01.03 22:00:01,25,XTIUSD,sell,in,0.5,76.90,25,0.00,0.00,0.00,3 105.75,WP Sell #M20260533
2023.01.03 22:00:01,26,XBRUSD,sell,in,0.5,81.78,26,0.00,0.00,0.00,3 105.75,WP Sell #M20260534
2023.01.03 23:30:03,27,XAUUSD,buy,in,0.03,1839.41,27,-0.11,0.00,0.00,3 105.64,United SuperEMA long #M940001
2023.01.04 01:15:01,28,XAUUSD,sell,out,0.03,1838.65,28,-0.11,-1.71,-2.28,3 101.54,
2023.01.04 03:00:01,29,XAUUSD,buy,in,0.01,1838.80,29,-0.04,0.00,0.00,3 101.50,SimpleTrendline BUY #M26042503
2023.01.04 03:30:01,30,XAUUSD,buy,in,0.03,1839.98,30,-0.11,0.00,0.00,3 101.39,United SuperEMA long #M940001
2023.01.04 04:00:01,31,XAUUSD,buy,in,0.15,1844.62,31,-0.53,0.00,0.00,3 100.86,RSI Scalping Buy #M129102315
2023.01.04 04:00:27,32,XAUUSD,sell,out,0.15,1845.01,32,-0.53,0.00,5.85,3 106.18,sl 1845.02
