strategy,magic,trades,wins,win_pct,gross_profit,gross_loss,net_profit,profit_factor,swap
RSIConsolidation SELL,2025042,390,188,48.2,2633.21,-5003.92,-2370.71,0.53,-255.07
RSI Reverse SELL,1002,89,33,37.1,225.11,-1573.61,-1348.50,0.14,-19.77
RSIConsolidation BUY,20250420,52,20,38.5,407.99,-1500.31,-1092.32,0.27,-60.59
SimpleTrendline SELL,26042503,702,212,30.2,5577.56,-6460.80,-883.23,0.86,-85.34
SimpleTrendline BUY,26042503,782,247,31.6,4051.55,-4826.89,-775.34,0.84,-174.85
RSI Follow BUY,1001,110,38,34.5,1682.43,-2318.59,-636.16,0.73,-82.18
RSI Overbought Crossover Sell #,,42,24,57.1,267.82,-412.44,-144.62,0.65,3.68
RSI Follow SELL,1001,2,1,50.0,0.01,-12.18,-12.17,0.00,1.21
EMA Cross Distance SELL,1003,2,0,0.0,0.00,-9.99,-9.99,0.00,0.00
EMA Cross Distance BUY,1003,9,6,66.7,80.22,-27.80,52.42,2.89,-1.71
RSI Oversold Crossover Buy,7,18,12,66.7,405.03,-268.81,136.22,1.51,0.00
WP Buy,20260526,486,264,54.3,2186.44,-1938.31,248.13,1.13,71.87
RSI Reverse BUY,1002,29,18,62.1,369.73,-121.21,248.52,3.05,-14.83
WP Sell,20260528,194,108,55.7,1859.67,-1610.92,248.75,1.15,-657.67
United SuperEMA long,940001,445,216,48.5,3461.96,-2819.04,642.92,1.23,-164.46
Darvas Box Breakout,135790,87,45,51.7,3723.77,-1693.46,2030.31,2.20,-91.88
United SuperEMA short,940001,310,144,46.5,12336.47,-5178.87,7157.60,2.38,-155.13
EMA Crossover Trade BUY,12350,535,277,51.8,18389.64,-7669.54,10720.10,2.40,-332.28
RSI Scalping Sell,129102315,1102,619,56.2,39676.20,-28531.07,11145.13,1.39,-448.72
RSI Scalping Buy,129102315,1837,1007,54.8,59029.66,-38721.01,20308.65,1.52,-775.17
