strategy,magic,trades,wins,win_pct,gross_profit,gross_loss,net_profit,profit_factor,swap
RSIConsolidation SELL,2025042,426,211,49.5,3980.36,-6740.41,-2760.05,0.59,-240.07
SimpleTrendline SELL,26042503,734,218,29.7,5700.92,-7232.83,-1531.90,0.79,-80.25
RSI Reverse SELL,1002,100,36,36.0,486.60,-1713.95,-1227.35,0.28,-25.48
RSIConsolidation BUY,20250420,52,17,32.7,402.95,-1519.11,-1116.16,0.27,-58.88
RSI Follow BUY,1001,92,28,30.4,477.85,-1571.57,-1093.72,0.30,-7.86
United SuperEMA long,940001,465,224,48.2,3403.54,-4363.10,-959.56,0.78,-153.13
RSI Follow SELL,1001,5,1,20.0,0.01,-261.39,-261.38,0.00,2.82
SimpleTrendline BUY,26042503,802,249,31.0,4040.16,-4182.26,-142.10,0.97,-170.83
RSI Overbought Crossover Sell #,,44,26,59.1,322.02,-416.32,-94.30,0.77,3.72
EMA Cross Distance BUY,1003,8,7,87.5,94.16,-0.36,93.80,261.56,0.00
RSI Reverse BUY,1002,25,15,60.0,305.25,-188.70,116.55,1.62,-14.26
RSI Oversold Crossover Buy,7,19,13,68.4,440.30,-316.46,123.84,1.39,0.00
WP Sell,20260528,225,123,54.7,1977.72,-1773.20,204.52,1.12,-664.91
WP Buy,20260526,537,286,53.3,3673.59,-3416.60,256.99,1.08,82.69
EMA Cross Distance SELL,1003,3,1,33.3,1002.04,-9.99,992.05,100.30,0.00
Darvas Box Breakout,135790,85,42,49.4,3332.54,-1927.11,1405.43,1.73,-117.55
EMA Crossover Trade BUY,12350,579,307,53.0,19548.42,-12557.81,6990.61,1.56,-284.11
United SuperEMA short,940001,344,159,46.2,16786.44,-6197.29,10589.15,2.71,-89.01
RSI Scalping Sell,129102315,1141,650,57.0,48286.45,-30695.37,17591.08,1.57,-462.51
RSI Scalping Buy,129102315,1870,1033,55.2,64092.73,-37961.04,26131.69,1.69,-843.26
