strategy,magic,trades,wins,win_pct,gross_profit,gross_loss,net_profit,profit_factor,swap
RSI Follow BUY,1001,67,23,34.3,161.23,-2386.32,-2225.09,0.07,1.53
RSI Reverse SELL,1002,61,18,29.5,95.24,-1774.97,-1679.73,0.05,-37.26
SimpleTrendline SELL,26042503,320,94,29.4,2279.67,-3413.94,-1134.26,0.67,-29.43
United SuperEMA long,940001,222,102,45.9,1255.73,-2362.75,-1107.02,0.53,-46.14
RSIConsolidation SELL,2025042,175,90,51.4,1092.25,-1978.20,-885.95,0.55,-55.36
RSI Reverse BUY,1002,18,10,55.6,63.04,-356.40,-293.36,0.18,-15.41
WP Sell,20260528,153,82,53.6,1243.31,-1456.45,-213.14,0.85,-482.61
RSI Overbought Crossover Sell #,,40,25,62.5,177.27,-296.62,-119.35,0.60,1.94
EMA Cross Distance BUY,1003,5,3,60.0,32.01,-136.72,-104.71,0.23,0.00
EMA Cross Distance SELL,1003,3,1,33.3,0.84,-18.84,-18.00,0.04,0.40
RSI Follow SELL,1001,3,1,33.3,0.24,-6.46,-6.22,0.04,0.81
Darvas Box Breakout,135790,46,20,43.5,612.16,-530.70,81.46,1.15,-6.44
RSIConsolidation BUY,20250420,24,13,54.2,328.73,-240.32,88.41,1.37,-10.03
RSI Oversold Crossover Buy,7,20,12,60.0,308.49,-122.46,186.03,2.52,0.00
WP Buy,20260526,354,200,56.5,3444.90,-2539.61,905.30,1.36,109.37
SimpleTrendline BUY,26042503,362,111,30.7,3308.42,-2287.33,1021.10,1.45,-151.72
United SuperEMA short,940001,179,74,41.3,5588.60,-2830.11,2758.49,1.97,-76.01
EMA Crossover Trade BUY,12350,350,173,49.4,7898.13,-4820.17,3077.96,1.64,-145.22
RSI Scalping Buy,129102315,1137,650,57.2,24330.58,-17305.48,7025.10,1.41,-200.97
RSI Scalping Sell,129102315,664,378,56.9,20586.73,-12956.14,7630.60,1.59,-122.73
