strategy,magic,trades,wins,win_pct,gross_profit,gross_loss,net_profit,profit_factor,swap
RSIConsolidation SELL,2025042,431,215,49.9,2818.05,-5173.52,-2355.47,0.54,-192.60
SimpleTrendline SELL,26042503,761,229,30.1,4577.14,-5662.51,-1085.37,0.81,-68.71
United SuperEMA long,940001,467,225,48.2,2948.96,-3928.03,-979.07,0.75,-136.90
RSI Reverse SELL,1002,107,38,35.5,378.62,-1275.94,-897.32,0.30,-24.74
RSIConsolidation BUY,20250420,58,19,32.8,237.69,-1097.83,-860.14,0.22,-42.90
SimpleTrendline BUY,26042503,823,255,31.0,3364.47,-3878.88,-514.41,0.87,-153.68
Darvas Box Breakout,135790,85,41,48.2,1388.64,-1688.77,-300.13,0.82,-7.38
RSI Follow SELL,1001,5,1,20.0,0.01,-202.23,-202.22,0.00,2.42
RSI Overbought Crossover Sell #,,44,26,59.1,265.42,-363.63,-98.21,0.73,3.15
RSI_Secret_SHORT,789012,2,1,50.0,1.53,-0.15,1.38,10.20,0.00
RSI Oversold Crossover Buy,7,20,13,65.0,326.32,-308.51,17.81,1.06,0.00
EMA Cross Distance BUY,1003,8,7,87.5,72.15,-0.36,71.79,200.42,0.00
RSI Reverse BUY,1002,26,15,57.7,278.33,-157.47,120.86,1.77,-14.26
WP Buy,20260526,551,295,53.5,3523.70,-3279.18,244.52,1.07,83.46
RSI Follow BUY,1001,97,32,33.0,1486.89,-1195.68,291.21,1.24,-82.88
WP Sell,20260528,237,129,54.4,2074.05,-1690.10,383.95,1.23,-665.51
EMA Cross Distance SELL,1003,3,1,33.3,693.72,-9.99,683.73,69.44,0.00
EMA Crossover Trade BUY,12350,583,308,52.8,14217.55,-8439.37,5778.18,1.68,-213.85
United SuperEMA short,940001,356,165,46.3,12467.39,-5018.24,7449.15,2.48,-86.11
RSI Scalping Sell,129102315,1159,657,56.7,36000.70,-22831.42,13169.28,1.58,-401.69
RSI Scalping Buy,129102315,1930,1062,55.0,48348.34,-28946.32,19402.02,1.67,-681.09
