strategy,magic,trades,wins,win_pct,gross_profit,gross_loss,net_profit,profit_factor,swap
RSIConsolidation SELL,2025042,465,228,49.0,4162.17,-6832.97,-2670.80,0.61,-251.17
SimpleTrendline SELL,26042503,768,233,30.3,5443.95,-7794.47,-2350.51,0.70,-93.75
RSI Reverse SELL,1002,106,36,34.0,489.77,-2094.83,-1605.06,0.23,-31.12
RSIConsolidation BUY,20250420,57,17,29.8,402.95,-1608.86,-1205.91,0.25,-63.45
United SuperEMA long,940001,478,227,47.5,3516.11,-4461.23,-945.12,0.79,-156.47
Darvas Box Breakout,135790,82,42,51.2,1688.88,-2162.68,-473.80,0.78,-6.98
SimpleTrendline BUY,26042503,832,258,31.0,4070.48,-4457.31,-386.83,0.91,-182.84
RSI Overbought Crossover Sell #,,44,26,59.1,341.00,-435.95,-94.95,0.78,3.86
RSI Follow SELL,1001,3,1,33.3,0.01,-29.13,-29.12,0.00,1.21
RSI Oversold Crossover Buy,7,24,14,58.3,476.18,-446.46,29.72,1.07,0.00
EMA Cross Distance BUY,1003,8,7,87.5,95.31,-0.36,94.95,264.75,0.00
RSI Reverse BUY,1002,24,15,62.5,315.69,-186.81,128.88,1.69,-11.98
WP Buy,20260526,442,246,55.7,2556.88,-2270.96,285.92,1.13,86.49
WP Sell,20260528,166,101,60.8,1329.10,-874.05,455.05,1.52,-441.23
RSI Follow BUY,1001,105,32,30.5,2725.23,-1826.29,898.94,1.49,-101.71
EMA Cross Distance SELL,1003,3,1,33.3,1002.04,-14.12,987.92,70.97,0.00
EMA Crossover Trade BUY,12350,619,327,52.8,21174.67,-13099.10,8075.57,1.62,-297.17
United SuperEMA short,940001,370,170,45.9,17616.32,-7350.50,10265.82,2.40,-154.23
RSI Scalping Sell,129102315,1176,667,56.7,49835.67,-32046.48,17789.19,1.56,-465.39
RSI Scalping Buy,129102315,1922,1054,54.8,68180.29,-40348.38,27831.91,1.69,-885.36
