strategy,magic,trades,wins,win_pct,gross_profit,gross_loss,net_profit,profit_factor,swap
SimpleTrendline BUY,26042503,737,226,30.7,2681.82,-4638.52,-1956.70,0.58,-95.35
RSI Reverse SELL,1002,97,32,33.0,197.67,-1822.87,-1625.20,0.11,-1.35
RSI Follow BUY,1001,87,29,33.3,275.67,-1864.40,-1588.73,0.15,-10.74
RSIConsolidation SELL,2025042,368,163,44.3,2368.20,-2914.10,-545.90,0.81,-81.74
RSIConsolidation BUY,20250420,41,19,46.3,567.62,-1091.44,-523.82,0.52,-34.92
RSI Overbought Crossover Sell #,,33,20,60.6,152.28,-258.87,-106.59,0.59,0.64
RSI Follow SELL,1001,4,2,50.0,1.76,-17.08,-15.32,0.10,0.89
RSI Oversold Crossover Buy,7,17,10,58.8,331.11,-343.34,-12.23,0.96,0.00
RSI Reverse BUY,1002,25,14,56.0,138.67,-127.30,11.37,1.09,-6.75
EMA Cross Distance SELL,1003,7,3,42.9,86.25,-27.84,58.41,3.10,0.00
EMA Cross Distance BUY,1003,9,8,88.9,116.39,-0.26,116.13,447.65,0.00
WP Sell,20260528,195,107,54.9,2093.77,-1753.58,340.19,1.19,-721.88
WP Buy,20260526,404,229,56.7,1708.30,-1046.82,661.48,1.63,31.59
United SuperEMA long,940001,404,193,47.8,2907.15,-1973.92,933.23,1.47,-97.30
Darvas Box Breakout,135790,75,39,52.0,2820.76,-1868.45,952.31,1.51,-4.13
United SuperEMA short,940001,268,108,40.3,8493.27,-6523.35,1969.92,1.30,-33.70
SimpleTrendline SELL,26042503,617,175,28.4,6444.69,-3903.82,2540.87,1.65,-54.34
EMA Crossover Trade BUY,12350,450,232,51.6,9011.79,-5353.57,3658.22,1.68,-67.56
RSI Scalping Sell,129102315,887,506,57.0,25133.92,-20171.07,4962.85,1.25,-309.64
RSI Scalping Buy,129102315,1482,803,54.2,30234.11,-24411.17,5822.93,1.24,-351.07
