strategy,magic,trades,wins,win_pct,gross_profit,gross_loss,net_profit,profit_factor,swap
RSI Follow SELL,1001,4,1,25.0,4.32,-3396.88,-3392.56,0.00,27.77
RSI Follow BUY,1001,47,10,21.3,186.62,-2040.18,-1853.56,0.09,-28.50
RSI Reverse SELL,1002,50,13,26.0,598.27,-1053.68,-455.41,0.57,-14.15
WP Buy,20260526,299,159,53.2,1606.45,-1970.64,-364.19,0.82,72.55
WP Sell,20260528,114,54,47.4,1108.33,-1364.15,-255.82,0.81,-505.59
EMA Cross Distance BUY,1003,3,2,66.7,18.33,-148.20,-129.87,0.12,-7.78
RSI Overbought Crossover Sell #,,18,10,55.6,57.36,-184.55,-127.19,0.31,0.31
RSI Scalping Buy,129102315,765,472,61.7,18195.10,-18041.25,153.85,1.01,-640.14
United SuperEMA long,940001,271,139,51.3,3782.52,-3462.60,319.92,1.09,-118.39
RSI Reverse BUY,1002,11,4,36.4,494.10,-116.50,377.60,4.24,-6.22
RSI Oversold Crossover Buy,7,17,10,58.8,581.09,-93.75,487.34,6.20,0.00
RSI Scalping Sell,129102315,484,288,59.5,22110.89,-16323.46,5787.42,1.35,-87.61
United SuperEMA short,940001,148,60,40.5,16091.56,-9400.23,6691.33,1.71,-112.18
EMA Crossover Trade BUY,12350,371,182,49.1,19041.68,-9261.76,9779.92,2.06,-204.57
