Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Swap,Profit,Balance,Comment
2023.01.01 00:00:00,1,,balance,,,,,0.00,0.00,3 000.00,3 000.00,
2023.01.03 03:00:00,2,XAUUSD,buy,in,0.01,1830.61,2,-0.04,0.00,0.00,2 999.96,WP Buy #M20260526
2023.01.03 04:45:00,3,XAUUSD,buy,in,0.04,1838.41,3,-0.14,0.00,0.00,2 999.82,United SuperEMA long #M940001
2023.01.03 10:09:38,4,XAUUSD,sell,out,0.01,1842.47,4,-0.04,0.00,11.86,3 011.64,sl 1842.48
2023.01.03 10:30:00,5,XAUUSD,sell,out,0.04,1840.57,5,-0.14,0.00,8.64,3 020.14,
2023.01.03 11:00:00,6,XAUUSD,sell,in,0.25,1836.12,6,-0.88,0.00,0.00,3 019.26,RSI Scalping Sell #M129102315
2023.01.03 11:02:39,7,XAUUSD,buy,out,0.25,1836.32,7,-0.88,0.00,-5.00,3 013.38,sl 1836.31
2023.01.03 15:45:00,8,XAUUSD,buy,in,0.05,1839.94,8,-0.18,0.00,0.00,3 013.20,United SuperEMA long #M940001
2023.01.03 16:00:00,9,XAUUSD,buy,in,0.25,1839.00,9,-0.88,0.00,0.00,3 012.32,RSI Scalping Buy #M129102315
2023.01.03 16:18:13,10,XAUUSD,sell,out,0.25,1839.70,10,-0.88,0.00,17.50,3 028.94,sl 1839.71
2023.01.03 17:00:00,11,TSLA.NAS,sell,in,37.8,111.64,11,-0.76,0.00,0.00,3 028.18,RSI Scalping Sell #M125421321
2023.01.03 17:30:00,12,XAUUSD,sell,out,0.05,1833.55,12,-0.18,0.00,-31.95,2 996.05,
2023.01.03 17:45:00,13,NVDA.NAS,sell,in,24.9,14.10,13,-0.50,0.00,0.00,2 995.55,RSI Scalping Sell #M20003
2023.01.03 19:00:00,14,AAPL.NAS,sell,in,0.1,124.738,14,-0.02,0.00,0.00,2 995.53,WP Sell #M20260528
2023.01.03 19:00:00,15,TSLA.NAS,sell,in,0.1,106.68,15,-0.02,0.00,0.00,2 995.51,WP Sell #M20260530
2023.01.03 19:00:00,16,NVDA.NAS,buy,out,24.9,14.14,16,-0.50,0.00,-1.00,2 994.01,
2023.01.03 19:00:01,17,TSLA.NAS,buy,out,37.8,106.68,17,-0.76,0.00,187.49,3 180.74,
2023.01.03 19:07:43,18,AAPL.NAS,buy,out,0.1,124.942,18,-0.02,0.00,-0.02,3 180.70,sl 124.938
2023.01.03 19:15:01,19,NVDA.NAS,buy,in,26.5,14.21,19,-0.53,0.00,0.00,3 180.17,RSI Scalping Buy #M20003
2023.01.03 20:00:00,20,AAPL.NAS,sell,in,0.1,124.555,20,-0.02,0.00,0.00,3 180.15,WP Sell #M20260528
2023.01.03 20:01:36,21,AAPL.NAS,buy,out,0.1,124.544,21,-0.02,0.00,0.00,3 180.13,sl 124.539
2023.01.03 20:55:37,22,TSLA.NAS,buy,out,0.1,106.46,22,-0.02,0.00,0.02,3 180.13,sl 106.45
2023.01.03 22:00:01,23,XTIUSD,sell,in,0.5,76.90,23,0.00,0.00,0.00,3 180.13,WP Sell #M20260533
2023.01.03 22:00:01,24,XBRUSD,sell,in,0.5,81.78,24,0.00,0.00,0.00,3 180.13,WP Sell #M20260534
2023.01.03 23:30:03,25,XAUUSD,buy,in,0.05,1839.41,25,-0.18,0.00,0.00,3 179.95,United SuperEMA long #M940001
2023.01.04 01:15:01,26,XAUUSD,sell,out,0.05,1838.65,26,-0.18,-2.59,-3.80,3 173.38,
2023.01.04 03:30:01,27,XAUUSD,buy,in,0.05,1839.98,27,-0.18,0.00,0.00,3 173.20,United SuperEMA long #M940001
2023.01.04 04:00:01,28,XAUUSD,buy,in,0.26,1844.62,28,-0.91,0.00,0.00,3 172.29,RSI Scalping Buy #M129102315
2023.01.04 04:00:27,29,XAUUSD,sell,out,0.26,1845.01,29,-0.91,0.00,10.14,3 181.52,sl 1845.02
2023.01.04 06:00:00,30,BTCUSD,buy,in,0.26,16858.18,30,0.00,0.00,0.00,3 181.52,RSI Scalping Buy #M123459123
2023.01.04 06:00:42,31,BTCUSD,sell,out,0.26,16875.45,31,0.00,0.00,4.49,3 186.01,sl 16875.56
2023.01.04 06:57:38,32,AUDUSD,sell,in,0.21,0.68016,32,-0.74,0.00,0.00,3 185.27,RSI Overbought Crossover Sell #
2023.01.04 08:00:00,33,AUDUSD,buy,out,0.21,0.68066,33,-0.74,0.00,-10.50,3 174.03,
