Section,Key,Value
Setup,Expert,main
Setup,Symbol,EURUSD
Setup,Period,H1 (2023.01.01 - 2026.06.17)
Setup,Company,Raw Trading Ltd
Setup,Currency,USD
Setup,Initial Deposit,3 000.00
Setup,Leverage,1:1000
Setup,_title,Strategy Tester Report
Statistics,Initial Deposit,3 000.00
Statistics,Leverage,1:1000
Statistics,History Quality,99% real ticks
Statistics,Bars,21504
Statistics,Ticks,108284733
Statistics,Symbols,12
Statistics,Total Net Profit,13 583.50
Statistics,Balance Drawdown Absolute,1 900.15
Statistics,Equity Drawdown Absolute,1 839.35
Statistics,Gross Profit,82 483.31
Statistics,Balance Drawdown Maximal,11 201.40 (40.48%)
Statistics,Equity Drawdown Maximal,21 366.38 (56.30%)
Statistics,Gross Loss,-68 899.81
Statistics,Balance Drawdown Relative,68.06% (2 343.85)
Statistics,Equity Drawdown Relative,67.09% (2 366.59)
Statistics,Profit Factor,1.20
Statistics,Expected Payoff,6.92
Statistics,Margin Level,199.72%
Statistics,Recovery Factor,0.64
Statistics,Sharpe Ratio,1.19
Statistics,Z-Score,-1.38 (83.24%)
Statistics,AHPR,1.0019 (0.19%)
Statistics,LR Correlation,0.64
Statistics,OnTester result,0
Statistics,GHPR,1.0009 (0.09%)
Statistics,LR Standard Error,3 796.79
Statistics,Total Trades,1964
Statistics,Short Trades (won %),628 (46.66%)
Statistics,Long Trades (won %),1336 (49.25%)
Statistics,Total Deals,3928
Statistics,Profit Trades (% of total),951 (48.42%)
Statistics,Loss Trades (% of total),1013 (51.58%)
Statistics,Largest profit trade,13 700.90
Statistics,Largest loss trade,-6 226.55
Statistics,Average profit trade,86.73
Statistics,Average loss trade,-67.12
Statistics,Maximum consecutive wins ($),9 (990.72)
Statistics,Maximum consecutive losses ($),10 (-210.67)
Statistics,Maximal consecutive profit (count),17 313.31 (5)
Statistics,Maximal consecutive loss (count),-6 227.11 (2)
Statistics,Average consecutive wins,2
Statistics,Average consecutive losses,2
Statistics,"Correlation (Profits,MFE)",0.78
Statistics,"Correlation (Profits,MAE)",0.39
Statistics,"Correlation (MFE,MAE)",-0.1433
Statistics,Minimal position holding time,0:00:02
Statistics,Maximal position holding time,339:00:00
Statistics,Average position holding time,6:56:03
