strategy,magic,trades,wins,win_pct,gross_profit,gross_loss,net_profit,profit_factor,swap
United SuperEMA long,940001,374,152,40.6,1100.80,-1855.70,-754.90,0.59,-63.71
SimpleTrendline SELL,26042503,717,192,26.8,1767.51,-2490.92,-723.41,0.71,-2.00
SimpleTrendline BUY,26042503,782,225,28.8,1576.48,-2106.50,-530.02,0.75,-61.96
RSIConsolidation SELL,2025042,330,154,46.7,742.56,-1260.98,-518.42,0.59,-61.20
RSIConsolidation BUY,20250420,41,12,29.3,47.28,-273.57,-226.29,0.17,-10.54
RSI Follow BUY,1001,69,22,31.9,65.77,-224.69,-158.92,0.29,0.24
RSI Reverse BUY,1002,18,7,38.9,14.02,-79.11,-65.09,0.18,-1.04
RSI Follow SELL,1001,4,0,0.0,0.00,-63.43,-63.43,0.00,1.35
RSI Overbought Crossover Sell #,,41,23,56.1,31.57,-84.29,-52.72,0.37,0.83
RSI Reverse SELL,1002,63,26,41.3,101.53,-144.42,-42.89,0.70,-3.93
Darvas Box Breakout,135790,45,18,40.0,235.31,-251.61,-16.30,0.94,-6.24
EMA Cross Distance BUY,1003,5,1,20.0,0.71,-2.60,-1.89,0.27,0.00
RSI Oversold Crossover Buy,30,21,13,61.9,54.00,-10.95,43.05,4.93,0.00
EMA Cross Distance SELL,1003,4,2,50.0,78.81,-7.52,71.29,10.48,0.00
EMA Crossover Trade BUY,12350,314,160,51.0,1163.23,-1024.40,138.83,1.14,-6.97
WP Sell,20260528,221,119,53.8,2030.98,-1775.64,255.34,1.14,-800.21
WP Buy,20260526,525,268,51.0,3872.52,-3141.31,731.21,1.23,83.68
United SuperEMA short,940001,288,114,39.6,3392.85,-1506.44,1886.41,2.25,0.13
RSI Scalping Buy,129102315,1166,662,56.8,5852.84,-3814.52,2038.32,1.53,-69.69
RSI Scalping Sell,129102315,754,425,56.4,5055.02,-2699.07,2355.95,1.87,-33.02
