strategy,magic,trades,wins,win_pct,gross_profit,gross_loss,net_profit,profit_factor,swap
United SuperEMA long,940001,315,123,39.0,613.68,-1505.39,-891.71,0.41,-42.26
RSIConsolidation SELL,2025042,276,123,44.6,569.68,-1210.45,-640.77,0.47,-42.66
SimpleTrendline SELL,26042503,606,156,25.7,1636.91,-2197.69,-560.78,0.74,-7.28
SimpleTrendline BUY,26042503,659,189,28.7,1374.93,-1722.01,-347.08,0.80,-54.26
RSIConsolidation BUY,20250420,31,8,25.8,38.41,-241.62,-203.21,0.16,-12.10
WP Sell,20260528,180,91,50.6,1351.62,-1554.00,-202.38,0.87,-662.42
Darvas Box Breakout,135790,42,15,35.7,177.80,-322.88,-145.08,0.55,-5.20
RSI Follow SELL,1001,4,0,0.0,0.00,-121.93,-121.93,0.00,1.79
RSI Follow BUY,1001,53,19,35.8,61.83,-163.98,-102.15,0.38,0.83
RSI Overbought Crossover Sell #,,26,14,53.8,25.66,-119.00,-93.34,0.22,0.33
RSI Reverse BUY,1002,15,6,40.0,13.05,-70.15,-57.10,0.19,-0.52
RSI Reverse SELL,1002,57,23,40.4,106.82,-137.26,-30.44,0.78,2.61
EMA Cross Distance BUY,1003,4,1,25.0,0.71,-2.50,-1.79,0.28,0.00
RSI Oversold Crossover Buy,7,19,12,63.2,57.37,-7.81,49.56,7.35,0.00
EMA Cross Distance SELL,1003,3,2,66.7,78.81,-1.73,77.08,45.55,0.00
EMA Crossover Trade BUY,12350,264,134,50.8,1480.53,-775.98,704.55,1.91,-26.73
WP Buy,20260526,458,230,50.2,3831.65,-3101.71,729.93,1.24,83.37
RSI Scalping Sell,129102315,620,348,56.1,3462.95,-2444.41,1018.54,1.42,-35.37
RSI Scalping Buy,129102315,934,538,57.6,3597.42,-2258.40,1339.02,1.59,-59.77
United SuperEMA short,940001,244,99,40.6,3113.55,-1512.33,1601.22,2.06,11.85
