strategy,magic,trades,wins,win_pct,gross_profit,gross_loss,net_profit,profit_factor,swap
RSIConsolidation SELL,2025042,381,180,47.2,8205.67,-14005.46,-5799.79,0.59,-447.17
United SuperEMA long,940001,447,208,46.5,5987.41,-9927.17,-3939.76,0.60,-186.52
SimpleTrendline SELL,26042503,680,206,30.3,10401.34,-13758.59,-3357.25,0.76,-0.80
RSIConsolidation BUY,20250420,44,13,29.5,457.95,-3565.48,-3107.53,0.13,-112.87
RSI Reverse SELL,1002,93,36,38.7,1510.64,-2471.08,-960.44,0.61,-18.59
Darvas Box Breakout,135790,75,36,48.0,1927.49,-2804.12,-876.63,0.69,-16.87
RSI Follow SELL,1001,5,1,20.0,0.01,-850.02,-850.01,0.00,7.61
SimpleTrendline BUY,26042503,750,234,31.2,7343.57,-7805.53,-461.97,0.94,-217.66
RSI Follow BUY,1001,87,24,27.6,2439.16,-2820.51,-381.35,0.86,-104.30
RSI Overbought Crossover Sell #,,43,26,60.5,488.15,-648.11,-159.96,0.75,7.92
WP Sell,20260528,201,104,51.7,2277.23,-2326.50,-49.27,0.98,-648.32
EMA Cross Distance BUY,1003,6,5,83.3,60.18,-0.36,59.82,167.17,0.00
WP Buy,20260526,509,271,53.2,4852.39,-4775.22,77.17,1.02,71.69
RSI Reverse BUY,1002,22,14,63.6,822.35,-205.38,616.97,4.00,-12.96
RSI Oversold Crossover Buy,7,18,12,66.7,1147.75,-184.25,963.50,6.23,0.00
EMA Cross Distance SELL,1003,3,1,33.3,3391.52,-9.99,3381.53,339.49,0.00
EMA Crossover Trade BUY,12350,486,252,51.9,35075.80,-22331.25,12744.55,1.57,-296.75
RSI Scalping Sell,129102315,1021,574,56.2,88782.77,-60018.81,28763.96,1.48,-533.62
United SuperEMA short,940001,322,150,46.6,44613.58,-15581.24,29032.34,2.86,-117.11
RSI Scalping Buy,129102315,1682,932,55.4,127220.44,-68975.57,58244.87,1.84,-1049.28
